Title,Short explain,Subtitle,Seconed button,Seconed button - Text,Seconed button 2,Seconed button 2 - Text,Seconed explain,Seconed picture,Third subtitle,Third button,Third button - Text,Third explain,Third picture,Four Subtitle,Four  button,Four  button - Text,Four  button 2,Four  button - Text,Four  explain,Four  picture,Fifth subtitle,Fifth button,Fifth button - Text,Fifth button 2,Fifth button 2 - Text,Fifth explain,Fifth picture,Six subtitle,Six button,Six button - Text,Six button 2,Six button 2- Text,Six explain,Six picture,HMO,serial number,Category,Sub-category,Notes,Rank 
נמצאים באותה קופת החולים,מצוין שאתם וההורה רשומים לאותה קופת חולים! זה מאפשר לכם לקבל הרשאות גישה לחשבון שלו ולנהל את התהליכים בצורה יעילה יותר. ,מימוש,,,,,"אנחנו ממליצים לפנות לקופה ולבקש אישור לצפייה ושימוש במשתמש של ההורה – כך תוכלו לעזור לו בתיאום תורים, בדיקות ומעקב רפואי בצורה פשוטה ונוחה",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"InfoCard_health_44
",Health,,,
נמצאים בקופות חולים שונות,"מאחר שאתם לא רשומים לאותה קופת חולים, הדרך היעילה ביותר לנהל את ענייניו הרפואיים של ההורה היא להוריד את האפליקציה של הקופה שלו, להכיר את המערכת ולדאוג שיהיו לכם שם המשתמש והסיסמה שלו. כך תוכלו לעזור לו בתיאום תורים, מעקב אחר בדיקות וטיפולים, ולוודא שהוא מקבל את כל מה שהוא צריך ללא עיכובים.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"InfoCard_health_45
",Health,,,
טיפולי המשך תרופתיים,התייעצו עם רוקח לגבי אינטראקציות אפשריות בין התרופות החדשות לתרופות שההורה כבר נוטל.,מעקב שוטף,https://he.hadassah.org.il/patient-information/hadassaheshel/,מוקד להתייעצות תרופתית של הדסה ,,," קבעו לוח זמנים לנטילה ומעקב רפואי לוודא את יעילות התרופות, כמו כן כולנו ערניים למקרים של שכחת תרופות אבל חשוב לשים לב גם למקרים של לקיחת מינון כפול.
 בכל דילמה ובעיה התייעצו עם איש מקצוע. 
",,תופעות לוואי,,,"היו ערניים לתופעות כמו עצירות, עייפות או בעיות עיכול. שימו לב להשפעה על מצב הרוח של ההורה.",,,,,,,,,,,,,,,,,,,,,,,,"InfoCard_health_46
",Health,,,
טיפול המשך פיזיותרפיה,"טיפול פיזיותרפי נועד לשמר את טווח התנועה, למנוע את הידרדרות השרירים וסיבוכים כמו פצעי לחץ או התקשות המפרקים  וכמובן לעזור למפרק להחלים. תהליך שיקום מוצלח דורש סבלנות ועקביות. קיימת חשיבות גבוהה לליווי ההורה בתהליך , על מנת שהפיזיותרפיה והשיקום יצליחו חשוב להיות עקביים לאורך התהליך ולהקפיד בבית על התרגילים וההנחיות המתקבלות מהפזיותרפיסט/ית.",התנהלות ותחילת תהליך טיפול,,,,,"
נמליץ כי תצטרפו לפגישה הראשונה עם הפיזיותרפיסט על מנת לוודא העברת תמונה רפואית מלאה למטופל.
הכינו מסמכים רפואיים רלוונטים כולל סיכום אשפוז ומחלקות רקע נוספות.
וודאו שההורה מבין את תהליך השיקום ובקשו מהפיזיותרפיסט כלים ותרגילים להמשך עבודה עצמאית בבית. 
וודאו שיש תוכנית שיקום עם יעדים מוגדרים.
תהליך הפיזיותרפיה עשוי להיות מאתגר פיזית ונפשית. הפגינו עידוד ותמיכה כדי להבטיח שיתוף פעולה.
נסו לתאם את המפגשים לשעות אופטימליות עבור המטופל מבחינת אנרגיה.
",,תשלומים על טיפולים,,,"
עבור טיפולים בקופת החולים כללית, יש לפנות לרופא המשפחה או לרופא מומחה לקבלת הפניה לטיפולי פיזיותרפיה. 
נמליץ לוודא שמכתב השחרור מצוין הצורך בפיזיותרפיה.
לאחר קבלת ההפניה, ניתן לקבוע תור במכוני הפיזיותרפיה של כללית באמצעות אתר האינטרנט, האפליקציה או במוקד הטלפוני.
2700*​ לפגישת בדיקה ואבחון במכון לפיזיותרפיה של כללית.
עבור טיפולים פרטיים, ניתן לקבל החזר של 75% מההוצאה בפועל, עד 109 ש""ח לטיפול.
 

",,פיזיותרפיה בבית,,,,,"
בקשו המלצה מצוות במחלקה בה מאושפז/היה מאושפז או מרופא המשפחה.
ההמלצה מועברת לאחראי ביחידה לטיפולי בית של הקופה ברשות בה המטופל גר. 
בתוך 3 ימי עבודה תקבלו עדכון באם אושר או לא.",,אביזרי שיקום ותרגול, https://cbm.org.il/medi-products/?pc=walker%2Celectric-hospital-bed%2Ca-crane-for-the-mobility-of-the-disabled%2Cseating-system%2Cback-amidon,אביזרים מכללית,,,"
בהתאם להמלצת רופאה והגדרת קופת החולים כללית, ישנם אביזרי ניוד ותרגול שתוכלו לקבל מהקופה בהשאלה/השתתפות עצמאית. שירותי הקופה כוללים אספקת המכשיר. תמיכה ושירות לאורך תקופת השימוש, ואיסוף המכשיר בתום תקופת השימוש.",,,,,,,,,כללית,"InfoCard_health_47
",Health,,,
טיפול המשך פיזיותרפיה,"טיפול פיזיותרפי נועד לשמר את טווח התנועה, למנוע את הידרדרות השרירים וסיבוכים כמו פצעי לחץ או התקשות המפרקים  וכמובן לעזור למפרק להחלים. תהליך שיקום מוצלח דורש סבלנות ועקביות. קיימת חשיבות גבוהה לליווי ההורה בתהליך , על מנת שהפיזיותרפיה והשיקום יצליחו חשוב להיות עקביים לאורך התהליך ולהקפיד בבית על התרגילים וההנחיות המתקבלות מהפזיותרפיסט/ית.",התנהלות ותחילת תהליך טיפול,,,,,"
נמליץ כי תצטרפו לפגישה הראשונה עם הפיזיותרפיסט על מנת לוודא העברת תמונה רפואית מלאה למטופל.
הכינו מסמכים רפואיים רלוונטים כולל סיכום אשפוז ומחלקות רקע נוספות.
וודאו שההורה מבין את תהליך השיקום ובקשו מהפיזיותרפיסט כלים ותרגילים להמשך עבודה עצמאית בבית. 
וודאו שיש תוכנית שיקום עם יעדים מוגדרים.
תהליך הפיזיותרפיה עשוי להיות מאתגר פיזית ונפשית. הפגינו עידוד ותמיכה כדי להבטיח שיתוף פעולה.
נסו לתאם את המפגשים לשעות אופטימליות עבור המטופל מבחינת אנרגיה.
",,תשלומים על טיפולים,,,"
עבור טיפולים בקופת החולים מכבי, יש לפנות לרופא המשפחה או לרופא מומחה לקבלת הפניה לטיפולי פיזיותרפיה. 
נמליץ לוודא שבמכתב השחרור מצוין הצורך בפיזיותרפיה.
לאחר קבלת ההפניה, ניתן לקבוע תור במכוני הפיזיותרפיה של כללית באמצעות אתר האינטרנט, האפליקציה או במוקד הטלפוני.


",,פיזיותרפיה בבית,,,,,"
בקשו המלצה מצוות במחלקה בה מאושפז/היה מאושפז או מרופא המשפחה.
ההמלצה מועברת לאחראי ביחידה לטיפולי בית של הקופה ברשות בה המטופל גר. 
בתוך 3 ימי עבודה תקבלו עדכון באם אושר או לא.",,אביזרים בהשתתפות עצמית,https://www.maccabi4u.co.il/new/eligibilites/2161/,אביזרי עזר מכבי,,,"פנו למטפל/אחות/פיזיותרפיסט ובקשו הפניה שתכלול אבחנה רפואית והמלצה לרכישה של הפריט. קנו את המוצר ולאחר מכן הגישו למרכז הרפואי בדואר או בעמדת אל-תור את ההפניה שקיבלת ממטפל הקופה, קבלה וחשבונית מס מקורית. ההחזר ישלח אליכם. ",,,,,,,,,מכבי,"InfoCard_health_48
",Health,,,
טיפול המשך פיזיותרפיה,"טיפול פיזיותרפי נועד לשמר את טווח התנועה, למנוע את הידרדרות השרירים וסיבוכים כמו פצעי לחץ או התקשות המפרקים  וכמובן לעזור למפרק להחלים. תהליך שיקום מוצלח דורש סבלנות ועקביות. קיימת חשיבות גבוהה לליווי ההורה בתהליך , על מנת שהפיזיותרפיה והשיקום יצליחו חשוב להיות עקביים לאורך התהליך ולהקפיד בבית על התרגילים וההנחיות המתקבלות מהפזיותרפיסט/ית.",התנהלות ותחילת תהליך טיפול,,,,,"
נמליץ כי תצטרפו לפגישה הראשונה עם הפיזיותרפיסט על מנת לוודא העברת תמונה רפואית מלאה למטופל.
הכינו מסמכים רפואיים רלוונטים כולל סיכום אשפוז ומחלקות רקע נוספות.
וודאו שההורה מבין את תהליך השיקום ובקשו מהפיזיותרפיסט כלים ותרגילים להמשך עבודה עצמאית בבית. 
וודאו שיש תוכנית שיקום עם יעדים מוגדרים.
תהליך הפיזיותרפיה עשוי להיות מאתגר פיזית ונפשית. הפגינו עידוד ותמיכה כדי להבטיח שיתוף פעולה.
נסו לתאם את המפגשים לשעות אופטימליות עבור המטופל מבחינת אנרגיה.
",,תשלומים על טיפולים,,,"זכויות 
עבור טיפולים בקופת החולים, יש לפנות לרופא המשפחה או לרופא מומחה לקבלת הפניה לטיפולי פיזיותרפיה. 
נמליץ לוודא שמכתב השחרור מצוין הצורך בפיזיותרפיה.
לאחר קבלת ההפניה, ניתן לקבוע תור במכוני הפיזיותרפיה של הקופה.
פיזיותרפיה בבית
בקשו המלצה מצוות במחלקה בה מאושפז/היה מאושפז או מרופא המשפחה.
ההמלצה מועברת לאחראי ביחידה לטיפולי בית של הקופה ברשות בה המטופל גר. 

",,אביזרי שיקום ותרגול,,,,,"
בהתאם להמלצת רופאה והגדרת קופת החולים, ישנם אביזרי ניוד ותרגול שתוכלו לקבל מהקופה בהשאלה/השתתפות עצמאית.",,,,,,,,,,,,,,,,אחר,"InfoCard_health_49
",Health,,,
ירידה בתאבון,"לאחר ניתוח שבר בירך, ירידה בתיאבון היא תופעה נפוצה הנגרמת משילוב של כאב, ירידה בתנועה, השפעת תרופות ושינויים במצב הרגשי. תזונה מספקת היא קריטית להחלמה, לחיזוק השרירים ולמניעת סיבוכים.",הבנת מקור הירידה בתאבון,,,,,"השפעה פיזיולוגית: כאב מתמשך, תופעות לוואי של תרופות (כגון משככי כאבים), או ירידה בפעילות הפיזית עשויים לגרום לאיבוד תיאבון. 
השפעה רגשית: תחושות של תסכול, דכדוך או אובדן עצמאות עלולות לפגוע ברצון לאכול.
עייפות כללית: התאוששות גופנית לאחר אשפוז יכולה לגרום לחולשה שמובילה לירידה בתיאבון.
",,דגשים והמלצות,,,"בשביל להגיע מוכנים לרופא, נמליץ להיות במעקב אחר תזונה ולקיחת תרופות לפי מרשם.
התייעצו עם רוקח על הרכב התרופות הנלקח.
פנו לרופא המשפחה ובקשו לבדוק משתנים תזונתיים כמו ברזל, ויטמין D או B12.
ניתן לקבוע תור לתזונאי/דיאטנית בקופת החולים.
במידה ולא מצליחים לזהות את הסיבה, נמליץ לפנות לפסיכוגריאטר.
",,,,,,,,,,,,,,,,,,,,,,,,"InfoCard_health_50
",Health,,,
אובדן סבלנות ועצבנות,"אובדן סבלנות ועצבנות אצל אדם מבוגר לאחר אירוע רפואי כמו שבר בירך הוא סימן שחשוב להתייחס אליו ברצינות. 
",הבנת שורש הבעיה,,,,,"
 כאב: כאב מתמשך יכול להוביל לעצבנות. וודאו שהוא מקבל טיפול תרופתי מתאים לכאב.
 תסכול מאובדן עצמאות: תחושת חוסר אונים ואובדן שליטה על החיים יכולה להוביל להתנהגות עצבנית, דיכאון או חרדה.
 בעיות שינה: מחסור בשינה עקב כאב, תרופות, או חרדה יכול להחמיר את המצב.
 תופעות לוואי של תרופות: בדקו אם התרופות שהוא נוטל גורמות לעצבנות או שינויים בהתנהגות.
",,המלצות לבירור מול רופאים,,,"
פסיכוגריאטר: פנו לפסיכוגריאטר לבדיקת המצב הנפשי וההתנהגותי. ייתכן שמדובר בתסמינים של דיכאון, חרדה או אפילו מצב התחלתי של דמנציה שדורש טיפול מותאם.
נמליץ להיות במעקב אחר שינה ונטילת תרופות (בהתאם למרשמים) בשביל לתת כמה שיותר מידע לפסיכוגריאטר. 
רופא משפחה: בקשו בדיקות מקיפות לשלילת גורמים פיזיולוגיים (כמו חוסר איזון תזונתי, דלקות או בעיות שינה).
גורם מקצועי ריגשי ונפשי: ייעוץ פסיכולוגי או טיפולי CBT (טיפול קוגניטיבי-התנהגותי) יכולים לעזור להתמודד עם השינויים והקשיים.

",,התמודדות רגשית וחברתית,https://yad-sarah.net/community/%D7%99%D7%93-%D7%9C%D7%AA%D7%95%D7%9E%D7%9A-%D7%A1%D7%99%D7%95%D7%A2-%D7%9C%D7%9E%D7%A9%D7%A4%D7%97%D7%94/?gad_source=1&gclid=Cj0KCQjwna6_BhCbARIsALId2Z1DcLh3RwZaQkKQrO_vqFE4a2ALbv99y-I5eEsZn5pmOKabk6nwM-MaAgtwEALw_wcB,קבוצת תמיכה 'יד לתומך',,,"שגרה ותעסוקה: ייצרו 'טקסים' משפחתיים בשביל למנוע תחושה של בדידות, שעמום או חוסר משמעות. נמליץ לשלב פעילויות מותאמות כמו מרכז יום לקשיש, קבוצות תמיכה, התנדבויות או חוגים.
קבוצת תמיכה למשפחה: נמליץ לקחת חלק בקבוצות תמיכה למשפחות המתמודדות עם קשיים דומים.
",,לימוד מניסיון משפחות אחרות,hub.theoak.io,לליווי ותמיכה,,,ישנן משפחות רבות שעברו תהליך דומה קודם לכן ורבות מהן רוצות ומוכנות לעזור ולתמוך במשפחות שמתחילות עכשיו את התהליך. במידה ותרצו מנטור מלווה שידע לשתף אתכם בתובנות שלו מהשטח ולהבין מה באמת עובר עליכם אתם מוזמנים להירשם,,,,,,,,,,"InfoCard_health_51
",Health,,,
קשיי נשימה,"קשיי נשימה עשויים להשפיע בצורה רחבה על איכות החיים, תהליך השיקום וגם על הפוטנציאל בהתדרדרות מחלות רקע ו/או התפתחות מחלות כרוניות, הינכם זכאים למגוון רחב של טיפולים ושירותים האמורים לסייע בשיקום , החלמה ושיפור איכות החיים וחשוב מאד דווקא בתקופת השיקום על אף העומס של הטיפול בשבר לא להזניח את הנושא ",טיפולים וליווי רפואי,,,,,"חשוב ליידע את צוות הרופאים האינטגרטיבי בנושא, ולבחון השפעות רוחביות
כחלק מהמעכב ולטובת השיח עם הצוות הרפואי ומימוש זכויות מול ביטוח לאומי - הקפידו על תיעוד של ההשפעות כגון, סחרורות, בילבול, פגיעה בשינה, עליה בכמות הנפילות/'כמעט נפילה',  עייפות, חולשה ועוד. 
חוות דעת רופא ריאות – פנו לרופא מומחה על מנת שידגיש את הקשר בין הקושי הנשימתי ובין ההגבלה הפיזית.                                                                                                     טיפולים פיזיותרפיים נשימתיים: בקשו מרופא המשפחה הפניה וקבעו תור
ייתכן וקשיי הנשימה הינם סימפטום של חולי נוסף או סיבוך שנגרם מהאישפוז, חשוב לבקש בדיקות מקיפות גם של מערכת הנשימה ובית החזה.
",,ציוד רפואי מכללית,https://yad-sarah.net/,ציוד יד שרה,"חולים עם קשיי נשימה כרוניים או זמניים זכאים להשאלת/השתתפות בהוצאות מכשירי חמצן, אינהלציה או CPAP דרך קופת החולים כללית או עמותת כגון יד שרה. דרך קופת החולים כללית ניתן לקבל את המכשיר לתקופת ניסיון של שבוע. לפני שמתקדמים להתייחבות ארוכת טווח כלשהיא (דרך הקופה/רכישה מעסק/עמותה..) נמליץ לנצל את האפשרות של תקופת הניסיון ולראות האם מועיל, מתאים ונוח למשתמש.
באם קיבלתם אישור מהרופא למכונת CPAP דרך הקופה, אתם זכאים להחזר של 100% מההוצאה על הציוד הנלווה (מתכלה) של המכשיר עם הגבלת סכום של עד 1,667 שקלים בשנה קלנדרית. רשימת הציוד:
​מסכה.
צינורית.
רצועת ראש.
פד למצח.
כרית אפית.
מסנן אוויר (פילטר).
למימוש, ריכשו את הציוד בחנות או אצל ספק בארץ לבחירתכם. המסמכים הנדרשים לטובת הזדכות:
אישור מרופא משפחה (או אף אוזן גרון) שמאשר שהמטופל צריך מכשיר CPAP.
חשבונית מס קבלה מקורית או קבלה מקורית על שם המטופל.
העבירו בקשה באתר כללית או פנו למשרד המרפאה שלכם בכללית בשביל לקבל את ההחזר.


",,בחינת זכאות להעלאת קצבת סיעוד,הקפצה לסעיף קצבת סיעוד שלהם,קצבת סיעוד,,,"בעיות נשימה יכולות להעלות את דרגת קצבת הסיעוד אם ניתן להוכיח שמשפיעות על מצב התפקוד היומיומי של המטופל. 

בדיקת תלות (ADL) מקצועית – לוודא שהבודקים מבינים את ההשפעה השלילית על תפקוד היום-יום. מכיוון שחלה החמרה במצב הרפואי, נמליץ לשלוח את האישורים הרפואיים העדכניים לביטוח לאומי בשביל לעדכן את רמת הזכאות ",,בחינת שורש הבעיה,מקפיץ אצלנו,תרצו סיוע בהכנת דף שאלות לרופא?,,,"
חשוב להבין את מקור קשיי הנשימה והאם התחילו לפני או כתוצאה של אירוע שבירת הירך.
פיזיולוגי: חוסר תנועה לאורך זמן עלול לגרום לקשיי נשימה בטווח הקצר והארוך.
נפשי: חרדה או תחושת חוסר אונים עלולים להוביל לתחושת חוסר נשימה.
שימו לב לדבר גם על הנושא הזה עם הרופא המטפל, ולהבין יחדיו את מקור הבעיה, את השלכותיה על השיקום ואת דרכי ההתמודדות הנכונות ביותר",,,,,,,,,כללית,"InfoCard_health_52
",Health,,,
קשיי נשימה,"קשיי נשימה עשויים להשפיע בצורה רחבה על איכות החיים, תהליך השיקום וגם על הפוטנציאל בהתדרדרות מחלות רקע ו/או התפתחות מחלות כרוניות, הינכם זכאים למגוון רחב של טיפולים ושירותים האמורים לסייע בשיקום , החלמה ושיפור איכות החיים וחשוב מאד דווקא בתקופת השיקום על אף העומס של הטיפול בשבר לא להזניח את הנושא ",טיפולים וליווי רפואי,,,,,"חשוב ליידע את צוות הרופאים האינטגרטיבי בנושא, ולבחון השפעות רוחביות
כחלק מהמעכב ולטובת השיח עם הצוות הרפואי ומימוש זכויות מול ביטוח לאומי - הקפידו על תיעוד של ההשפעות כגון, סחרורות, בילבול, פגיעה בשינה, עליה בכמות הנפילות/'כמעט נפילה',  עייפות, חולשה ועוד. 
חוות דעת רופא ריאות – פנו לרופא מומחה על מנת שידגיש את הקשר בין הקושי הנשימתי ובין ההגבלה הפיזית.                                                                                                     טיפולים פיזיותרפיים נשימתיים: בקשו מרופא המשפחה הפניה וקבעו תור
ייתכן וקשיי הנשימה הינם סימפטום של חולי נוסף או סיבוך שנגרם מהאישפוז, חשוב לבקש בדיקות מקיפות גם של מערכת הנשימה ובית החזה.
",,ציוד רפואי ,https://yad-sarah.net/,ציוד יד שרה,"חולים עם קשיי נשימה כרוניים או זמניים זכאים להשאלת/השתתפות בהוצאות מכשירי חמצן, אינהלציה או CPAP דרך קופת החולים מכבי או עמותת כגון יד שרה. דרך קופת החולים מכבי ניתן לקבל את המכשיר לתקופת ניסיון של שבוע. לפני שמתקדמים להתייחבות ארוכת טווח כלשהיא (דרך הקופה/רכישה מעסק/עמותה..) נמליץ לנצל את האפשרות של תקופת הניסיון ולראות האם מועיל, מתאים ונוח למשתמש.
באם קיבלתם אישור מהרופא למכונת CPAP דרך הקופה, אתם זכאים להחזר של 100% מההוצאה על הציוד הנלווה (מתכלה) של המכשיר עם הגבלת סכום של עד 1,667 שקלים בשנה קלנדרית. רשימת הציוד:
​מסכה.
צינורית.
רצועת ראש.
פד למצח.
כרית אפית.
מסנן אוויר (פילטר).
למימוש, ריכשו את הציוד בחנות או אצל ספק בארץ לבחירתכם. המסמכים הנדרשים לטובת הזדכות:
אישור מרופא משפחה (או אף אוזן גרון) שמאשר שהמטופל צריך מכשיר CPAP.
חשבונית מס קבלה מקורית או קבלה מקורית על שם המטופל.
העבירו בקשה באתר מכבי או פנו למשרד המרפאה שלכם במכבי בשביל לקבל את ההחזר.


",,בחינת זכאות להעלאת קצבת סיעוד,הקפצה לסעיף קצבת סיעוד שלהם,קצבת סיעוד,,,"בעיות נשימה יכולות להעלות את דרגת קצבת הסיעוד אם ניתן להוכיח שמשפיעות על מצב התפקוד היומיומי של המטופל. 

בדיקת תלות (ADL) מקצועית – לוודא שהבודקים מבינים את ההשפעה השלילית על תפקוד היום-יום. מכיוון שחלה החמרה במצב הרפואי, נמליץ לשלוח את האישורים הרפואיים העדכניים לביטוח לאומי בשביל לעדכן את רמת הזכאות ",,בחינת שורש הבעיה,מקפיץ אצלנו,תרצו סיוע בהכנת דף שאלות לרופא?,,,"
חשוב להבין את מקור קשיי הנשימה והאם התחילו לפני או כתוצאה של אירוע שבירת הירך.
פיזיולוגי: חוסר תנועה לאורך זמן עלול לגרום לקשיי נשימה בטווח הקצר והארוך.
נפשי: חרדה או תחושת חוסר אונים עלולים להוביל לתחושת חוסר נשימה.
שימו לב לדבר גם על הנושא הזה עם הרופא המטפל, ולהבין יחדיו את מקור הבעיה, את השלכותיה על השיקום ואת דרכי ההתמודדות הנכונות ביותר",,,,,,,,,מכבי,"InfoCard_health_53
",Health,,,
