Title,Short explain,Subtitle,Seconed button,Seconed button - Text,Seconed button 2,Seconed button 2 - Text,Seconed explain,Seconed picture,Third subtitle,Third button,Third button - Text,Third explain,Third picture,Four Subtitle,Four  button,Four  button - Text,Four  button 2,Four  button - Text,Four  explain,Four  picture,Fifth subtitle,Fifth button,Fifth button - Text,Fifth button 2,Fifth button 2 - Text,Fifth explain,Fifth picture,Six subtitle,Six button,Six button - Text,Six button 2,Six button 2- Text,Six explain,Six picture,HMO,serial number,Category,Sub-category,Notes,Rank 
פתרון זמני להנגשת מדרגות גישה לבית ,"
כחלק מהשינוי ולטובת צמצום התלות והעלאת רמת הבטיחות נמליץ על הוספה של זחליל עולה מדרגות נייד, התקנה של מעקי בטיחות ועל התקנה של תאורה חזקה בסביבת הכניסה לבית.

",מימוש והגשה,https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility                                           ,ציוד מכבי,,,לייעול התהליך נמליץ לקבל המלצה בפיזיוטרפסיט או רופא ובה רשום במפורש הצורך ברמפה/זחליל עולה מדרגות נייד. ,,הסתייעות ביד שרה לקבלת ציוד,https://yad-sarah.net/,ציוד יד שרה,"השאלת/השכרת רמפה ניידת 
התקנת רמפה נגישה ו/או הוספת מאחזי יד ",,אביזרים בהשתתפות עצמית,https://www.maccabi4u.co.il/new/eligibilites/2161/,אביזרים בהשתתפות מכבי,,,"




פנו למטפל/אחות/פיזיותרפיסט ובקשה הפניה שתכלול אבחנה רפואית והמלצה לרכישה של הפריט. קנו את המוצר ולאחר מכן הגישו למרכז הרפואי בדואר או בעמדת אל-תור את ההפניה שקיבלת ממטפל הקופה, קבלה וחשבונית מס מקורית. ההחזר ישלח אליכם. 
מאחזים בגדלים שונים - 11 - 49 ש""ח
",,רשויות תומכות נוספות, https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,רישום אצלנו,סיוע בירור מול העירייה,"על אף שהרופאים צופים חזרה לתפקוד מלא, יש לשקול הערכות למצב עתידי שבו יהיה צורך ברמפה קבועה, ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון                   מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים",,,,,,,,,מכבי,"InfoCard_home-adjustments_2
",התאמת הבית,,,
פתרונות קבועים להנגשת הכניסה לבית,"
כחלק מהשינוי ולטובת צמצום התלות והעלאת רמת הבטיחות נמליץ על הוספה של זחליל עולה מדרגות נייד, התקנה של מעקי בטיחות ועל התקנה של תאורה חזקה בסביבת הכניסה לבית. לקבלת זחליל דרך הקופה - יש להגיש בקשה לאתר מכבי > בקשה חדשה להתחייבות > תחת בקשה מהמשרד או החזרים, אישורים והתחייבויות 


",מימוש והגשה,https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility                                           ,ציוד מכבי,,,לייעול התהליך נמליץ לקבל המלצה בפיזיוטרפסיט או רופא ובה רשום במפורש הצורך ברמפה/זחליל עולה מדרגות נייד. ,/ImagesForInfoCards/Logo1.jpg,הסתייעות ביד שרה לקבלת ציוד,https://yad-sarah.net/,ציוד יד שרה,"השאלת/השכרת רמפה ניידת 
התקנת רמפה נגישה ו/או הוספת מאחזי יד ",,אביזרים בהשתתפות עצמית,https://www.maccabi4u.co.il/new/eligibilites/2161/,אביזרים בהשתתפות מכבי,,,"פנו למטפל/אחות/פיזיותרפיסט ובקשה הפניה שתכלול אבחנה רפואית והמלצה לרכישה של הפריט. קנו את המוצר ולאחר מכן הגישו למרכז הרפואי בדואר או בעמדת אל-תור את ההפניה שקיבלת ממטפל הקופה, קבלה וחשבונית מס מקורית. ההחזר ישלח אליכם. 
מאחזים בגדלים שונים - 11 - 49 ש""ח
",,רשויות תומכות נוספות, https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,רישום אצלנו,סיוע בירור מול העירייה,"ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון 
מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים",,,,,,,,,מכבי,InfoCard_home-adjustments_3,התאמת הבית,,,
פתרונות להתנהלות עם מדרגות בתוך הבית,"כחלק מהשינוי ולטובת הבטיחות במרחב הביתי נמליץ על התקנת מעקות או מאחזי יד בשני צידי המדרגות.
והתקנת מעלון מדרגות או שימוש בזחליל עולה מדרגות נייד, המאפשרים מעבר בין קומות ללא מאמץ וסכנה בטיחותית. תהליך המימוש מול הקופה נעשה כך-  יש להגיש בקשה לאתר מכבי > בקשה חדשה להתחייבות > תחת בקשה מהמשרד או החזרים, אישורים והתחייבויות
",,https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility,ציוד מכבי,,,"
לייעול וזירוז התהליך נמליץ לקבל המלצה מפיזיותרפיסט או רופא ובה רשום במפורש הצורך ברמפה/זחליל עולה מדרגות נייד. 
",C:\Users\sagil\OneDrive\Desktop\The Oak\Code\React\WebAppFirst\public\support-team.jpg,הסתייעות ביד שרה לקבלת ציוד,https://yad-sarah.net/,ציוד יד שרה,ניתן להשאיל/להשכיר מעלון ומאחזי יד ,C:\Users\sagil\OneDrive\Desktop\The Oak\Code\React\WebAppFirst\public\support-team.jpg,דגשים להתאמת המרחב והסתייעות בקופה בתהליך,https://www.maccabi4u.co.il/new/eligibilites/2161/,אביזרים בהשתתפות מכבי,,,"
התקינו תאורה חזקה
סמנו את המדרגות באמצעות סרט דביק בעל צבע ברור
במידה ולא נעשה שימוש בזחליל או מעלון התקינו מדבקות נגד החלקה על המדרגות
שימו לב כי ניתן לקבל אביזרי עזר שונים בהשתתפות עצמית באמצעות מכבי.
פנו למטפל/אחות/פיזיותרפיסט ובקשה הפניה שתכלול אבחנה רפואית והמלצה לרכישה של הפריט. קנו את המוצר ולאחר מכן הגישו למרכז הרפואי בדואר או בעמדת אל-תור את ההפניה שקיבלת ממטפל הקופה, קבלה וחשבונית מס מקורית. ההחזר ישלח אליכם. 
מאחזים בגדלים שונים - 11 - 49 ש""ח
",,רשויות תומכות נוספות,https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,רישום אצלנו,סיוע בירור מול העירייה,"ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון 
מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים",,,,,,,,,מכבי,"InfoCard_home-adjustments_4
",התאמת הבית,,,
בטיחות שטיחים ומרצפות,"מומלץ להימנע משטיחים בבית במצב הרפואי הנוכחי, לאחר הזזת השטיחים חשוב להתאים את התאורה כך שלא יווצרו החזרי אור מסוונרים מהריצפה העלולים לגרום לסחרחורות ואובדן שיווי משקל. במידה תבחרו להשאיר את השטיחים נמליץ :
להשתמש בשטיחים דקים עם מדבקות מונעות החלקה.
השתמשו ברהיטים כבדים כמשקולת בקצוות השטיח כדי לקבע אותם


",מימוש והגשה,https://www.maccabi4u.co.il/new/eligibilites/2161/,אביזרי עזר מכבי,,,"ניתן לקבל ממכבי מימון חלקי לאביזרי העזר השונים. פנו למטפל/אחות/פיזיותרפיסט ובקשה הפניה שתכלול אבחנה רפואית והמלצה לרכישה של הפריט. קנו את המוצר ולאחר מכן הגישו למרכז הרפואי בדואר או בעמדת אל-תור את ההפניה שקיבלת ממטפל הקופה, קבלה וחשבונית מס מקורית. ההחזר ישלח אליכם. 
דייסם נגד החלקה - 20 ש""ח
שטיחון למניעת החלקה - 27 ש""ח
",C:\Users\sagil\OneDrive\Desktop\The Oak\Code\React\WebAppFirst\public\support-team.jpg,התאמת התאורה,,,החליפו נורות אור לבן לתאורה צהובה-כתומה ,,שימו לב,,,,,"במידה ותחליטו כן להשאיר שטיחים בבית, נמליץ מאוד לא למקם שטיחים במסלולים מרכזיים כמו בין המיטה לשירותים.",C:\Users\sagil\OneDrive\Desktop\The Oak\Code\React\WebAppFirst\public\support-team.jpg,,,,,,,,,,,,,,,מכבי,"InfoCard_home-adjustments_5
",התאמת הבית,,,
התאמת המקלחון וחדר הרחצה,"על מנת למנוע החלקה או נפילה במקלחת נמליץ על רחצה בישיבה ועל שימוש באביזרים מייצבים ומונעי החלקה בזמן הרחצה ובעת הכניסה והיציאה מהמקלחון או חדר הרחצה, קיימים פתרונות שונים הממונים ע""י הקופה. יש להגיש בקשה לאתר מכבי > בקשה חדשה להתחייבות > תחת בקשה מהמשרד או החזרים, אישורים והתחייבויות. כמו כן ניתן לקבל אביזרי עזר נוספים במימון חלקי של הקופה. 

",מימוש והגשה,https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility,ציוד מכבי,,,נמליץ לקבל המלצה מפיזיותרפיסט או רופא ובה רשום במפורש הצורך בכיסא גלגלים לשירותים ורחצה ,,דגשים ואביזרים להתאמה,,,"התקנת ידיות אחיזה יציבות בתוך המקלחון כדי לספק תמיכה בזמן הכניסה, היציאה והרחצה.
הנחת משטח מונע החלקה על רצפת המקלחון.
התקנה של דלתות מותאמות בשביל ליצר גישה ומרחב פעולה 
התקנת כסא רחצה מתקפל או כיסא מותאם לנכים, המאפשר לשבת בזמן הרחצה.
לוודא שגובה ברזי המים והדוש נגישים, ולהתאים את מוט המקלחון אל גובה ישיבה התקנה של דלתות מותאמות בשביל ליצר גישה ומרחב פעולה",,אביזרים בהשתתפות עצמית,https://www.maccabi4u.co.il/new/eligibilites/2161/,אביזרים בהשתתפות מכבי,,,"
פנו למטפל/אחות/פיזיותרפיסט ובקשה הפניה שתכלול אבחנה רפואית והמלצה לרכישה של הפריט. קנו את המוצר ולאחר מכן הגישו למרכז הרפואי בדואר או בעמדת אל-תור את ההפניה שקיבלת ממטפל הקופה, קבלה וחשבונית מס מקורית. ההחזר ישלח אליכם. 
מאחזים בגדלים שונים - 11 - 49 ש""ח
ספוגי רחצה מותאמים - 14 - 30 ש""ח",,רשויות תומכות נוספות,https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,רישום אצלנו,סיוע בירור מול העירייה,"ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון 
מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים",,דינמיקה והתנהלות,,,,,"זו עלולה להיות סיטואציה לא נעימה אך נמליץ בפעמים הראשונות, הקפידו על מלווה בזמן המקלחת. להמשך הדרך נמליץ על התקנה של לחצן מצוקה בחדר הרחצה",,מכבי,InfoCard_home-adjustments_6,התאמת הבית,,,
התאמת האמבטיה וחדר הרחצה,"על מנת למנוע החלקה או נפילה באמבטיה נמליץ על רחצה בישיבה ועל שימוש באביזרים מייצבים ומונעי החלקה בזמן הרחצה ובעת הכניסה והיציאה מהאמבטיה וחדר הרחצה, קיימים פתרונות שונים הממונים ע""י הקופה.
",מימוש והגשה,https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility,ציוד מכבי,,,"
אופן מימוש ציוד בסבסוד הקופה :  יש להגיש בקשה לאתר מכבי > בקשה חדשה להתחייבות > תחת בקשה מהמשרד או החזרים, אישורים והתחייבויות. כמו כן, לייעול וזירוז התהליך נמליץ לקבל המלצה מפיזיותרפיסט או רופא ובה רשום במפורש הצורך בכיסא גלגלים לשירותים ורחצה. ",,דגשים ואביזרים להתאמה,,,"התקנת מעלון אמבטיה (כיסא ממונע) שמרים ומוריד את המשתמש בבטחה בתוך האמבטיה ומחוצה לה.
התקנת מנוף הרמה ייעודי שמסייע במעברמכיסא הגלגלים לאמבטיה ובחזרה.התקנת ידיות אחיזה יציבות בשני צידי האמבטיה ובנקודות קריטיות כמו הכניסה והיציאה.
שימוש במשטח מונע החלקה בתוך האמבטיה ועל הרצפה סביבה.
הוספת כסא רחצה מותאם המאפשר רחצה בישיבה. התקינו מוט מקלחת מתכוונן שמאפשר הגעה על הדוש.",,אביזרים בהשתתפות עצמית,https://www.maccabi4u.co.il/new/eligibilites/2161/,אביזרים בהשתתפות מכבי,,,"פנו למטפל/אחות/פיזיותרפיסט ובקשה הפניה שתכלול אבחנה רפואית והמלצה לרכישה של הפריט. קנו את המוצר ולאחר מכן הגישו למרכז הרפואי בדואר או בעמדת אל-תור את ההפניה שקיבלת ממטפל הקופה, קבלה וחשבונית מס מקורית. ההחזר ישלח אליכם. 
מאחזים בגדלים שונים - 11 - 49 ש""ח
ספוגי רחצה מותאמים - 14 - 30 ש""ח
ספסל העברה לאמבטיה - 211 ש""ח
קרש עם מושב לאמבטיה - 76 ש""ח",,רשויות תומכות נוספות,https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,רישום אצלנו,סיוע בירור מול העירייה,"ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון 
מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים",,דינמיקה והתנהלות,,,,,"זו עלולה להיות סיטואציה לא נעימה אך נמליץ בפעמים הראשונות, הקפידו על מלווה בזמן המקלחת. להמשך הדרך נמליץ על התקנה של לחצן מצוקה בחדר הרחצה",,מכבי,InfoCard_home-adjustments_7,התאמת הבית,,,
כסא גלגלים,"המעבר לכיסא גלגלים דורש התאמות רבות בבית ובגישה אליו, כמו כן קיימים סוגים שונים של כיסאות גלגלים ונדרש לראות כי בוחרים את הסוג המתאים ביותר לאדם ולביתו. במסגרת כך נרצה להתייחס להיבטים רבים : התאמת דלתות ומעברים, התאמת נתיבי תנועה והזזת מכשולים, התאמת גבהי רהיטים ומקומות אחסון, התאמת חדר השינה, התאמת אורח החיים, התאמת תוכנית פעילות ושיקום.

",מימוש והגשה,https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility,ציוד מכבי,https://www.maccabi4u.co.il/new/eligibilites/2161/,,"אופן מימוש זכאות הציוד במכבי - יש להגיש בקשה לאתר מכבי > בקשה חדשה להתחייבות > תחת בקשה מהמשרד או החזרים, אישורים והתחייבויות - 
נמליץ לקבל המלצה מפיזיותרפיסט או רופא ובה ישנה התייחסות מפורשת בצורך בציוד הבא לטובת התנהלות, בטיחות והפחתת הסיכום לפצעי לחץ: בכיסא ספציפי ,בכרית לכיסא  ובמיטה סיעודית / מזרון; כיסא גלגלים ידני / כיסא גלגלים ממונע / כיסא גלגלים לשירותים ורחצה.



קיימים אביזרים נוספים אותם ניתן לקבל בהשתתפות חלקית ובאמצעות החזר מהקופה, על מנת לממש זכאות זו נדרש לקבל המלצה מגורם מהמטפל/אחות/פיזיותרפיסט הכוללת אבחונה רפואה והמלצה על רכישת הפריטים הספציפיים. הקנייה מתבצעת על-ידיכם ולאחר מכן נדרש להגיש בקשת החזר במרכז רפואי או באמצעות הדואר, הגשת ההחזר צריכה לכלול חשבונית מס מקורית וקבלה. מוצרים רלוונטיים:

הגבהה לאסלה (5סמ-15סמ) - 43 ש""ח - 103 ש""ח
הגבהה לאסלה עם שיפוע - 130 ש""ח 
כף נעליים ארוכה ממתכת - 16 ש""ח
אביזר עזר לשריכת שרוכים - 20 ש""ח
מאחזים בגדלים שונים - 11 - 49 ש""ח
ספוגי רחצה מותאמים - 14 - 30 ש""ח
ספסל העברה לאמבטיה - 211 ש""ח
קרש עם מושב לאמבטיה - 76 ש""ח
מעקה עזר לאסלה - 103 ש""ח
",C:\Users\sagil\OneDrive\Desktop\The Oak\Code\React\WebAppFirst\public\support-team.jpg,דגשים להתאמת המרחב,,,"מעברים ודלתות: יש לוודא שרוחב הדלתות והמעברים בבית מתאים למעבר כיסא גלגלים.
רמפות והסרת מכשולים: התקנת רמפות במקום מדרגות והסרת שטיחים, חוטים ומכשולים אחרים שיכולים להפריע לתנועה חלקה ובטוחה.
ידיות אחיזה: התקנת ידיות אחיזה בשירותים ובמקלחת כדי לסייע במעבר ובשמירה על היציבות.
מושב אסלה מוגבה: התקנת מושב אסלה מוגבה מקלה על המעבר מכסא הגלגלים לשירותים ובחזרה. 
נגישות: וודאו שהמיטה, משטחי העבודה ושולחן האוכל מותאמים לגובה כיסא הגלגלים ונגישים לשימוש יומיומי.
אחסון נגיש: מקמו פריטים  המצויים בשימוש יומיומי בגובה מתאים.
מיטה מותאמת עם מזרון למניעת פצעי לחץ: לאפשר כניסה ויציאה מהמיטה ולמנוע ככל הניתן פצעי לחץ. ",,פעילות ושיקום,,,,,"כריות ישיבה: שקלו שימוש בכריות ישיבה מיוחדות למניעת פצעי לחץ ולשמירה על יציבה נכונה.
שינויי תנוחה: עודדו שינויים בתנוחה למניעת לחץ ממושך באזורים רגישים - יש לבדוק עם רופא כיצד נכון למקם.
פיזיותרפיה: בחנו מול הרופא המטפל שילוב של פיזיותרפיה מותאמת לשיפור זרימת הדם ולשמירה על טווחי תנועה.",,רשויות נוספות, https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,רישום אצלנו,סיוע בירור מול העירייה,"ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון , כמו כן מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים.

",,התנהלות חברתית ופעילות,,,,,"

שמירה על שגרה: עודדו את ההורה לשמור על הרגלים ופעילות חברתית אותן נהג לעשות טרם הפציעה ככל האפשר.
פעילות מותאמת: עודדו ועזרו למטופל לגבש הרגלי פנאי חדשים ומותאמים למצבו החדש, כמו כן רשויות ועיריות מפעילות מרכזי יום עם חוגים שמותאמים לאנשים בכסאות גלגלים, בדקו לפי מקום המגורים. 
הדרכת המשפחה: וודאו שכל בני המשפחה יודעים כיצד לתפעל את כיסא הגלגלים, כולל קיפול, העמסה לרכב, וכניסה ויציאה מכיסא הגלגלים (למיטה, לכיסא רחצה וכו').


",,מכבי,InfoCard_home-adjustments_8,התאמת הבית,,,
לחצן מצוקה,"נמליץ על שימוש בלחצני מצוקה, קיימת חשיבות לנגישות וזמינות של לחצני המצוקה במרחבים שונים בבית בדגש על חדר השינה, חדר הרחצה והשירותים. לטובת כך ניתן או להתקין מספק לחצנים בבית או להשתמש בלחצן נייד / לביש",מימוש והגשה,https://www.btl.gov.il/benefits/Long_Term_Care/sherutim/Pages/mashdermetzuka.aspx,ציוד מכבי,לסיוע עם בירור על עמותה באזור המגורים,,"
קופות חולים ממנות/משתתפות בהוצאות בהתאם למסלול
קצבת סיעוד מאפשרת לקבל את השירות בתמורה לרבע או חצי שעת טיפול שבועית 
בנוסף נמליץ לבדוק מול עמותת בסמוך לאזור המגורים
",,דגשים לשימוש,,,"לחצן מצוקה נייח: לוודא שמותקן במקום נגיש למטופל או מיקום ממנו ישמע קולו היטב ויפעיל את הלחצן (תלוי אם הלחצן הינו על בסיס מגע או צליל). 
לחצן מצוקה נייד: לוודא שהוא עמיד במים.
ישנם לחצני מצוקה בעלי תקשורת דו כיוונית כך שהמטופל יכול לקבל הדרכה בעודו מחכה לעזרה. 
חשוב לוודא שהמטופל ואתם יודעים לתפעל בעת הצורך.
",,,,,,,,,,,,,,"
 ",,,,,,,,,מכבי,InfoCard_home-adjustments_9,התאמת הבית,,,
התאמת המיטה,"מיטה נוחה ומותאמת הינה חיונית הן לתהליך ההחלמה ולבטיחות, מכיוון שנפילות חוזרות מרובות קורות בעת התעוררות וקימה מהמיטה בשעות הלילה. 

",מימוש והגשה,https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility,ציוד מכבי,,,"ניתן לקבל מיטה סיעודית ומזרן / מזרן למניעת פצעי לחץ מקופת החולים - יש להגיש בקשה לאתר מכבי > בקשה חדשה להתחייבות > תחת בקשה מהמשרד או החזרים, אישורים והתחייבויות; לטובת ייעול וזירוז התהליך נמליץ לקבל המלצה מפיזיותרפיסט או רופא ובה רשום במפורש הצורך במיטה סיעודית ומזרן / מזרן למניעת פצעי לחץ.


",,בחירת המיטה והתאמת הסביבה,,,"מיטה מתכווננת חשמלית מאפשרת הרמה של פלג הגוף העליון והרגליים להקלה על כאבים ולסיוע במעבר משכיבה לישיבה.
מעקה בטיחות למיטה מסייע להימנע מנפילה ומאפשר אחיזה בטוחה בעת מעבר משכיבה לישיבה.
ידיות עזר בצדי המיטה מאפשרות להיעזר בידיו כדי להתיישב או לצאת מהמיטה באופן עצמאי יותר.
כריות תמיכה אורטופדיות מסייעות במניעת פצעי לחץ ובהתאמת תנוחת השינה לנוחות מרבית.
מקמו שידה נמוכה או מגש מיטה מתכוונן שמאפשרים הנחת חפצים חיוניים כמו כוס מים, משקפים ותרופות בהישג יד.
שטיחון מונע החלקה ליד המיטה.",,אביזרים בהשתתפות עצמית,https://www.maccabi4u.co.il/new/eligibilites/2161/,אביזרים בהשתתפות מכבי,,,"קיימים אביזרים נוספים אותם ניתן לקבל בהשתתפות חלקית ובאמצעות החזר מהקופה, על מנת לממש זכאות זו נדרש לקבל המלצה מגורם מהמטפל/אחות/פיזיותרפיסט הכוללת אבחונה רפואה והמלצה על רכישת הפריטים הספציפיים. הקנייה מתבצעת על-ידיכם ולאחר מכן נדרש להגיש בקשת החזר במרכז רפואי או באמצעות הדואר, הגשת ההחזר צריכה לכלול חשבונית מס מקורית וקבלה. מוצרים רלוונטיים:
משטח למניעת החלקה - 27 ש""ח
מעקה בטיחות למיטה - 298 ש""ח
קוביות הגבהה למיטה מעץ - 157 ש""ח",,רשויות נוספות, https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,רישום אצלנו,סיוע בירור מול העירייה,"ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון 
מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים",,התנהלות,,,,,"בתחילת הדרך לאחר השבר, רצוי מאוד שתהיה השגחה בעת קימה מהמיטה כדי להפחית את הסיכון לנפילות.",,מכבי,InfoCard_home-adjustments_10,התאמת הבית,,,
פתרונות זמניים להנגשת מדרגות גישה לבית ,"
כחלק מהשינוי ולטובת צמצום התלות והעלאת רמת הבטיחות נמליץ על התקנת רמפה נגישה ו/או הוספת מאחזי יד, כמו כן חשוב להתקין תאורה חזקה במרחב הכניסה לבית.
השאלת/השכרת רמפה ניידת (או בשמה המקצועי זחליל) דרך או קופת החולים כללית (בהשתתפות עצמית, כאשר החל מה01/04/2025 עובר לאחריות הקופה) ",מימוש והגשה,https://cbm.org.il/medi-products/?pc,ציוד כללית, https://yad-sarah.net/,ציוד יד שרה,,,מוצרים בהשתתפות אישית, https://cbm.org.il/medi-products/?pc=,ציוד בהשתתפות כללית,"

פנו למטפל/אחות/פיזיותרפיסט ובקשו הפניה שתכלול אבחנה רפואית, המלצה והפניה לרכישה של הפריט. העבירו את ההפניה למזכירות המרפאה. לאחר קבלת האישור, כללית הנדסה יצרו איתכם קשר לטובת תיאום מול ספק מאושר לטובת הזמנה של המכשיר. האישור תקף לחצי שנה ואת ההשתתפות העצמאית יש לשלם ישירות לספק.  ",,רשויות תומכות נוספות, https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped,בדיקת סיוע משרד השיכון,רישום אצלנו,סיוע בירור מול העירייה,"על אף שהרופאים צופים חזרה לתפקוד מלא, יש לשקול הערכות למצב עתידי שבו יהיה צורך ברמפה קבועה, ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון                   מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים",,,,,,,,,,,,,,,,כללית,InfoCard_home-adjustments_11,התאמת הבית,,,
