Title,Short explain,Subtitle,Seconed button,Seconed button - Text,Seconed button 2,Seconed button 2 - Text,Seconed explain,Seconed picture,Third subtitle,Third button,Third button - Text,Third explain,Third picture,Four Subtitle,Four  button,Four  button - Text,Four  button 2,Four  button - Text,Four  explain,Four  picture,Fifth subtitle,Fifth button,Fifth button - Text,Fifth button 2,Fifth button 2 - Text,Fifth explain,Fifth picture,Six subtitle,Six button,Six button - Text,Six button 2,Six button 2- Text,Six explain,Six picture,HMO,serial number,Category,Sub-category,Notes,Rank 
דיור מוגן,"המעבר לדיור מוגן הוא שינוי גדול עבורו ועבור כל המשפחה. זהו צעד שמעורר לא מעט רגשות ושאלות, ננסה לצמצם את סימני השאלה באמצעות הנגשה של מידע וליווי התהליך בצורה הטובה ביותר. 
",ניהול תהליך המעבר,,,,,"התאמת הסביבה לצרכים: בדקו שהדירה מותאמת לצרכים, כולל רמפות, מאחזי יד ורהיטים נגישים - ראו העמקה בסעיף בית.
מעורבות בתהליך הקליטה:  היו נוכחים במפגש עם הצוות במקום כדי להבטיח שהצרכים וההעדפות ברורים להם מן הצד האחד ושכלל השירותים והמתקנים מובנים למטופל מהצד השני. חשוב לתת למטופל להוביל את השיח והסיטואציה.
המשכיות טיפול רפואי: הבינו מה השירותים הרפואיים הניתנים במקום ואילו שירותים ימשיך לקבל בחוץ. וודאו האם האחריות הרפואית עוברת לדיור המוגן ועל המטופל להעביר את התיק הרפואי שלו אליהם או שמע המטופל ממשיך לפעול על מול הקופה וגופים פרטיים. 
",,תמיכה וליווי בתהליך המעבר,,,"תמיכה רגשית: המעבר לדיור מוגן עלול לעורר תחושות של אובדן עצמאות. היו סבלניים ותומכים בתהליך ההתאקלמות.
פיתוח קשרים חברתיים: עודדו את המטופל להשתתף בפעילויות חברתיות וחוגים בדיור המוגן. 
המשפחה: השתדלו לבקר ושימרו על קשר שוטף כדי למנוע תחושת בידוד.
חפצים אישיים: עזרו למטופל לבחור חפצים מוכרים ואהובים מהבית כדי ליצור תחושת ביתיות וביטחון. מצד שני, ייתכן שעקב מגבלת שטח יצטרך להפרד מחפצים רבים, תיהיו קשובים וערנים לתהליך. 
נצלו את ההזדמנות: מעבר לדיור מוגן הוא הזדמנות להורה להתחיל חוגים חדשים, לגלות את עצמו בתחומים שלא בהכרח עסק בהם בעבר ולפרוח, עודדו אותו לנצל את ההזדמנות.
",,,,,,,,,,,,,,,,,,,,,,,,"InfoCard_Living_solutions_39
",Living_solutions,,,
מגורים משותפים עם הילדים,"המעבר של יקירכם להתגורר עמכם הוא צעד משמעותי, אך גם מורכב, שיכול לחזק את הקשר המשפחתי, אך הוא גם דורש סדר, גבולות והיערכות רגשית. חשוב לוודא שתהיה שגרה מסודרת, שתאפשר לו לקבל את הטיפול הנדרש ולכם לשמור על איזון בחיי היומיום.
",זכויות בני משפחה, https://www.gov.il/he/life-events/senior-citizen-nursing/long-tem-care-benefit,גמלת סיעוד, https://www.gov.il/BlobFolder/service/itc159/he/Service_Pages_Income_tax_itc159.pdf,פטור ממס במשיכת כספים מקופת גמל למי שנושא בהוצאות רפואיות גבוהות,"
היעדרות מהעבודה - עובדים רשאים לנצל עד 6 ימי מחלה בשנה לצורך טיפול בהורה מעל גיל 65, התלוי לחלוטין בעזרת הזולת לביצוע פעולות יומיומיות.
עובד שהתפטר עקב מצב בריאותי לקוי של בן משפחה, עשוי להיות זכאי לפיצויי פיטורים.                                                                                       כמו כן ניתן לממש הטבות מס שונות. 


",,ניהול תהליך המעבר,,,"מרחב אישי: ככל שניתן, תקצו אזור/חדר פרטי כדי לשמר להם ולכם את תחושת העצמאות. רהטו את המרחב בחפצים אישיים ליצירת תחושות שייכות ביתית.
התאמת הסביבה לצרכים: בדקו שהבית, חדרו של ההורה, השירותים והמקלחת מותאמים לצרכים, כולל רמפות, מאחזי יד ורהיטים נגישים - ראו העמקה בסעיף בית.
שגרה מסודרת: נסו לבנות סדר יום ברור שיכלול זמן משותף, זמן אישי, זמן בית וזמן חוץ. 
פעילות משותפת: הכניסה לשגרה עלולה למקד את הדינמיקה בפעולות יום יום ומנהלות ולפגוע בזמן איכות משותף. קבעו ועשו אירועים כגון ארוחת משותפת שחורגות מהשגרה היומיומית. 
תחושת ערך: השתדלו למצוא פעולות בהם יוכל לעזור לכם ולילדכם, בין אם זה לעזור בשיעורי בית לנכדים או להשקות את העציצים, כל דבר אשר יסייע להם להרגיש חלק אינטגרלי מהעשייה של הבית. 
איזון רגשי: הגדירו גבולות ברורים כדי למנוע עומס רגשי. גם אתם וגם ההורה צריכים זמן אישי. אל תרגישו רע לקחת זמן לעצמכם, להתמיד בתחביבים ולצאת לחופשים, הבריאות הנפשית שלכם חשובה מכל והיא מה שמאפשרת לבית להמשיך קדימה.
מעקב רפואי: השגרה עלולה להשכיח ולמסך קשיים, תהיו ערנים לשינוים קטנים במצב הרפואי והקפידו על נטילת תרופות והליכה לטיפולים חיצונים כגון פיזיותרפיה וריפוי בעיסוק. 
שקיפות כלכלית: נהלו שיחה פתוחה על הוצאות. זה יקל על שני הצדדים.
",,,,,,,,,,,,,,,,,,,,,,,,"InfoCard_Living_solutions_40
",Living_solutions,,,
מתלבטים מהו פתרון הדיור הנכון ביותר,"מדובר בהחלטה לא פשוטה, זהו צעד שמעורר לא מעט רגשות ושאלות, ננסה לצמצם סימני שאלות על ידי מידע, הכוונה וליווי התהליך בצורה הטובה ביותר. נשאף לפתרון שנותן מענה רפואי ושיקומי מלא, תוך שקלול הרצונות האישיים והצורך בתחושת עצמאות של ההורה.
",ניהול דילמת בחירת מקום מגורים חליפי,,,,,"הקריטריונים שנמליץ להתייחס אליהם בקבלת ההחלטה
התאמה רפואית ושיקומית: האם מקום המגורים מתאים לצרכים הרפואיים של המטופל ויאפשרו לו שיקום מיטבי. 
רווחה נפשית: האם הסביבה מוכרת ככל האפשר – מהשארות באותה שכונה ועד ניוד רהיטים מוכרים.
נגישות שירותים: האם יש גישה לשירותים ופעילויות שגרתיות (גם אם אינו יכול בשלב זה לגשת עצמאית, יש ערך רב ביצירת תחושה של בטחון ולא של 'ניתוק'), כמו סופר או ספרייה.
רווחה חברתית: האם קיימת מעטפת חברתית מגוונת שאינה מסתמכת רק על המשפחה.
במרבית המקרים, המטופל מעוניין לתחזק חיי חברה עצמאים ולא להרגיש לגמרי תלוי בכם.
יש לכם את החיים והעומס שלכם ובשביל שתוכלו לעזור כמה שיותר, נמליץ לפגוע כמה שפחות בשגרה שלכם.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"InfoCard_Living_solutions_41
",Living_solutions,,,
מעון שיקומי ומרכזי שיקום גריאטרים,"מרכזים שמתמחים בטיפול באזרחים ותיקים לאחר ניתוחים, פציעות או מחלות שפגעו ביכולת התפקוד שלהם. המרכזים מציעים תוכניות שיקום רב-תחומיות.",מימון וקריטריוני התאמה,,,,,"
מרכזי שיקום ציבוריים ממומנים בצורה מלאה/חלקית על ידי קופות החולים, בעמצאות ביטוח סיעודי פרטי או באופן פרטי.
קריטריוני התאמה
מצבו של המטופל יציב מבחינה רפואית לאחר הניתוח, אך הוא עדיין זקוק לשיקום אינטנסיבי.
הערכת רופא שיקומי או גריאטרי – אישור רפואי לכך שהמטופל יכול להפיק תועלת מהשיקום.
אי-תלות מוחלטת בסיוע רפואי – המטופל לא זקוק לטיפול רפואי אינטנסיבי 24/7 (אם כן, ייתכן ועליו לשהות במחלקה סיעודית מורכבת).
דרגת ניידות מוגבלת עם מגמת שיקום חיובית – מתאים למטופלים שאינם מסוגלים ללכת לבד, אך יש להם פוטנציאל לשיפור עם טיפול מתאים.
יכולת קוגניטיבית מספקת – במקרים של דמנציה מתקדמת או בלבול חמור, תיבחן התאמתו של המטופל למסגרת השיקומית, שכן יש צורך בהשתתפות פעילה.
יכולת לשמור על תפקודים בסיסיים – יכולת מסוימת לבצע פעולות יומיומיות (רחצה, אכילה, שימוש בשירותים) או פוטנציאל לשיפור עם סיוע.
הפניה רשמית מבית החולים – ההמלצה לשיקום ניתנת על ידי הצוות הרפואי המטפל בבית החולים.
אישור מקופת החולים – קופות החולים מממנות שיקום לפי הזכאות של המטופל. יש צורך באישור מראש.
זמינות מקום במוסד השיקומי – השיבוץ למרכזי השיקום כפוף למקומות פנויים. במקרים מסוימים תיתכן המתנה או הפניה למוסד חלופי.
",,תהליך מימוש והגשה,,,"
קבלת המלצה מרופא בבית החולים – רופא המחלקה ימליץ על המשך השיקום במסגרת גריאטרית.
פנייה לקופת החולים – יש להגיש בקשה רשמית דרך קופת החולים ולוודא את הזכאות.
קבלת אישור ובחירת מרכז שיקום – הקופה מספקת רשימת מרכזי שיקום זמינים ותוכלו לבחור בהתאם לזמינות ומיקום.
תיאום קליטה במרכז השיקום – לאחר אישור הקופה ובדיקת זמינות, מתאמים קליטה במרכז הנבחר.
מעבר למרכז והתחלת השיקום – המטופל מועבר ממחלקת האשפוז ישירות למרכז השיקומי ומתחיל תוכנית התאוששות מותאמת אישית.
",,,,,,,"
הראו נוכחות - בהתחלה, הביקורים שלכם חשובים מאוד. בימים הראשונים המטופל עלול להיות מבולבל, חרד או אפילו כועס על השינוי בסביבה שלו. ביקור יומי, גם אם קצר, יכול לעזור לו להרגיש בטוח יותר. תכננו ביקורים בשעות המועילות ביותר – למשל, לפני ארוחת צהריים או לאחר הטיפולים הפיזיותרפיסטים, כדי לתת לו משהו לצפות לו ולהפיג בדידות.
סביבה מוכרות וביתית - חדרי השיקום הם בדרך כלל סטנדרטיים ויכולים להרגיש קרים ולא אישיים. הביאו תמונות משפחתיות, שמיכה מהבית, או אפילו מנורה קטנה – אלה דברים קטנים שיוצרים תחושת ביתיות ומסייעים לו להרגיש יותר בנוח.
לא לסמוך בעיניים עצומות - הצוות במרכז השיקום מקצועי ומנוסה, אבל זה לא אומר שצריך לוותר על מעקב. בקשו עדכונים רפואיים מפורטים – איך מתקדמות הפיזיותרפיות? האם יש שיפור בהליכה? מה היעד הסופי של השיקום?
תזונה - ארוחות הן אחד האתגרים הגדולים – מטופלים רבים לא אוכלים מספיק במרכזי שיקום, כי האוכל שונה ממה שהם רגילים. אם יש אפשרות, בקשו שיביאו לו מזון שמותאם להעדפותיו (למשל, דייסה רכה יותר, תוספת מסוימת). נסו להיות שם לפחות בארוחה אחת בשבוע כדי לראות אם הוא אוכל כמו שצריך. לפעמים צריך עידוד או אפילו סיוע באכילה.
ניהול ציפיות ראלי - שיקום זה תהליך – לא כל יום יהיה שיפור משמעותי, ויהיו ימים קשים יותר. שאלו את הצוות איך אתם יכולים לתמוך בתהליך וכיצד תוכלו לעזור למנוע רגרסיה במצבו.
",,הכנות ליציאה הבייתה,,,,,"כשהשיקום מתקרב לסיום, ודאו שאתם מקבלים הנחיות להמשך טיפול – פיזיותרפיה ביתית, תזונה מתאימה והתאמות בבית. וודאו שאתם מבצעים התאמות בבית (מעקה במקלחת, שינויים במדרגות), התחילו להתארגן מראש.",,,,,,,,,,"InfoCard_Living_solutions_42
",Living_solutions,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
