Title,Short explain,Subtitle,Seconed button,Seconed button - Text,Seconed button 2,Seconed button 2 - Text,Seconed explain,Seconed picture,Third subtitle,Third button,Third button - Text,Third explain,Third picture,Four Subtitle,Four  button,Four  button - Text,Four  button 2,Four  button - Text,Four  explain,Four  picture,Fifth subtitle,Fifth button,Fifth button - Text,Fifth button 2,Fifth button 2 - Text,Fifth explain,Fifth picture,Six subtitle,Six button,Six button - Text,Six button 2,Six button 2- Text,Six explain,Six picture,HMO,serial number,Category,Sub-category,Notes,Rank 
תעודת אזרח ותיק,"תעודת אזרח ותיק מזכה בהנחות והטבות שונות בתחומים רבים ביניהם תרבות, תחבורה, מוניציפאלי ועוד",פירוט הטבות,,,,,"
הנחות לתחבורה ציבורית, מוזיאונים, רשות הטבע והגנים, מופעי תיאטרון, בתי קולנוע ועוד
הנחות על תרופות, מכשור רפואי ושירותים בקופות החולים.
הנחות בתשלומי חשמל, מים, ארנונה (תלוי מבחן הכנסה).
",,מימוש וקבלת התעודה,https://form.mse.gov.il/seniorcard/(S(y3unu3e0qszssj0ugxcsdaj3))/default.aspx,טופס מכוון למימוש,"
זכאות אוטומטית: התעודה נשלחת באופן אוטומטי עם ההגעה לגיל הזכאות.
סוג וגודל ההטבות גדל לפי מדרגות; גיל יציאה לפנסיה, 70, 80.  

",,המלצות וסיוע נוסף,קישור אצלנו,אשמח לסיוע נוסף,,,"שמרו את התעודה בהישג יד והציגו אותה בהגעה ליעדים, הטבות אזרח ותיק משתנות באופן קבוע וחבל לפספס.",,,,,,,,,,,,,,,,,"InfoCard_Rights_91
",Rights,,,
קצבת אזרח ותיק,"
תשלום חודשי מהמוסד לביטוח לאומי לאזרחים שהגיעו לגיל פרישה, הקיצבה אמורה להתקבל באופן אוטומטי.
",אופן מימוש,https://www.btl.gov.il/benefits/old_age/Conditions_of_eligibility/Pages/%D7%94%D7%9B%D7%A0%D7%A1%D7%95%D7%AA%20%D7%91%D7%92%D7%99%D7%9C%20%D7%94%D7%A4%D7%A8%D7%99%D7%A9%D7%94.aspx,ביצוע מבחן הכנסה,https://govforms.gov.il/mw/forms/T480@btl.gov.il,טופס און-ליין לתביעת תשלום,"
הקצבה משולמת באופן אוטומטי למי שעומדים במבחן הכנסות והגיעו לגיל פריסה ולכל מי שעבר את גיל 70 ללא תלות במבחן הכנסה
אם הקצבה לא התקבלה, נדרש להגיש תביעה מקוונת בביטוח הלאומי או לפנות לסניף הקרוב למקום מגוריכם ולהגיש את הטפסים הנדרשים
",,דגשים והמלצות,,,"
וודאו שהפרטים האישיים מעודכנים במוסד לביטוח לאומי כדי למנוע עיכובים בקבלת הקצבה.
",,,,,,,,,,,,,,,,,,,,,,,,"InfoCard_Rights_92
",Rights,,,
תו נכה - חדש,הסדרי חניה מותאמים המאפשרים חניה נגישה ונוחה,זכאויות והטבות לבעלי התו,https://auth.govforms.gov.il/mw/forms/DisabledParkingBadg%40mot.gov.il,במידה והנחת האגרה לא התקבלה אוטומטית הגישו כאן,,,"
חנייה במקומות המיועדים לנכים (חניות מסומנות עם שילוט מתאים).
פטור מתשלום בחניונים מוסדרים ובחניות כחול-לבן, במגבלות החוק המקומי.
אפשרות לקבל חנייה מסודרת ליד הבית (בהתאם לאישור הרשות המקומית).
כניסה לאזורים עם הגבלות תנועה, כגון מדרחובים או אזורים שאסורים לכלי רכב רגילים.
פטור/הנחה מאגרת רישוי רכב.
",,קריטריונים לזכאות,,,"
אדם עם מוגבלות פיזית, מחלה כרונית או מצב רפואי שמקשה על ניידות עצמאית (קבוע או זמנית).
לרוב, הזכאות ניתנת למי שיש לו לפחות 40% נכות רפואית ממשרד הבריאות או המוסד לביטוח לאומי – אך לא תמיד זהו הקריטריון היחיד, ולכן יש לבדוק את הזכאות מול משרד התחבורה.

",,אופן מימוש תו הנכה,https://www.gov.il/he/service/disability_parking_badge,הגשת בקשה לתו,,,"
לקראת הגשת הבקשה באתר משרד התחבורה הכינו את המסמכים הבאים:
אישור רפואי מרופא מומחה.
צילום תעודת זהות כולל ספח.
רישיון נהיגה ורישיון רכב.",,מימוש תו לרכבי בני משפחה נוספים לטובת היסעים,,,,,"של המטופל במטפל, ואת השימוש הקבוע ברכב להסעת המטופל.
ציינו שאתם גרים קרוב למטופל ושהוא מסתייע בכם בכדי להגיע למקומות שונים. 
בקשו מהרופא לכלול התייחסות ישירה לכך שהמטופל זקוק לליווי והסעה על ידי בן המשפחה.
*תו החניה יהיה בתוקף כאשר המטופל איתכם ברכב.
",,הסתייעות ברשות המקומית,,,,,"לטובת קבלת חניה קרובה לבית, פנו לרשות המקומית עם מסמכים המעידים על הצורך. חשוב להראות שיש מגבלת תנועה קבועה ו/או תלות בעזרי ניידות.
גם אם המגבלה הינה זמנית, ניתן לקבל תו זמני למשך תקופת השיקום.
לכל רשות סל הטבות שונה, בדקו מול הרשות המקומית לגבי פטורים נוספים ותמיכה באזורים מוגבלים.

",,,"InfoCard_Rights_93
",Rights,,,
תו נכה - שינוי במצב רפואי,"מכיוון שחל שינוי במצב הרפואי ובצרכים, ניתן לעדכן מסמכים רפואיים דרך האתר.",עדכונים בתו הנכה,https://www.gov.il/he/service/disability_parking_badge,הגשת בקשות שינוי והתאמה במשרד התחבורה,,,,,הסתייעות ותמיכת רשות מקומית,,"
בשביל חניה קרובה לבית, פנו לרשות המקומית עם מסמכים המעידים על הצורך. חשוב להראות שיש מגבלת תנועה קבועה ו/או תלות בעזרי ניידות.
לכל רשות סל הטבות שונה, בדקו מול הרשות המקומית לגבי פטורים נוספים ותמיכה באזורים מוגבלים.
",,,מימוש תו לרכבי בני משפחה נוספים לטובת היסעים,,,,,"של המטופל במטפל, ואת השימוש הקבוע ברכב להסעת המטופל.
ציינו שאתם גרים קרוב למטופל ושהוא מסתייע בכם בכדי להגיע למקומות שונים. 
בקשו מהרופא לכלול התייחסות ישירה לכך שהמטופל זקוק לליווי והסעה על ידי בן המשפחה.
*תו החניה יהיה בתוקף כאשר המטופל איתכם ברכב.
",,,,,,,,,,,,,,,,,"InfoCard_Rights_94
",Rights,,,
הנחה בארנונה,"במרבית העיריות והרשויות המקומיות אזרחים ותיקים זכאים בהתאם לתנאים המשתנים מרשות לרשות 

",הגשת בקשה וזכאות,,,,,"את הבקשה מגישים מול מחלקת הארנונה ברשות המקומית או העירייה בה אתם מתגוררים, כאשר חשוב לדעת כי גובה ההנחה נקבע על בסיס מצב סוציו אקונומי
שימו לב כי בחלק מהרשויות ניתן להגיש גם בקשה להנחה רטרואקטיבית",,חשוב לדעת,הפניה אלינו,לסיוע נוסף,"
ישנן רשויות בהן צריך לחדש את הבקשה בכל שנה - במידה ותרצו סיוע נוסף ומעמיק שלנו בנושא נשמח לעזור.
",,,,,,,,,,,,,,,,,,,,,,,,"InfoCard_Rights_95
",Rights,,,
טיפולי שיניים,בריאות חלל הפה הינה חשובה מאוד בגיל השלישי אך נוטה להידחק הצידה תחת מעמסת הצרכים ובעיות. נמליץ להיות במעקב ולהקפיד על שמירה על היגיינת הפה.,מימוש טיפולי שיניים מסובסדים מקופת החולים,https://www.gov.il/he/service/dental-treatments-for-elderly,למימוש ההטבה,,,"במסגרת שירותי קופת החולים ניתן לקבל גם טיפולי שיניים ניידים בבית המטופל (בהתאם לעמידה בקריטריונים).                     פנו לקופת החולים ובקשו פירוט על הזכאות והקריטריונים להנחות
פנו מרפאת השיניים של קופת החולים והציגו מסמכים המעידים על מגבלת ניידות",,עמותות בתחום,https://oralhealth.co.il/,דוגמא לארגון רלוונטי,"
ישנם ארגונים ועמותות מסובסדות אשר מבצעים טיפולים בבית המטופל בהתאם לצורך",,,,,,,,,,,,,,,,,,,,,,,,InfoCard_Rights_96,Rights,,,
תעודת נכה,"תעודת נכה מזכה בשורה ארוכה של הטבות, הנחות וסיוע הנדרשים והיכולים לסייע לאדם במצב של נכות ביניהם גם הנחה בתשלומי מיסים.",פירוט זכויות והטבות,,,,,"פטור מתור במוסדות ציבוריים ובבתי עסק מסוימים.
הנחה בארנונה – ברשויות מסוימות בהתאם לקריטריונים.
הנחות בתחבורה ציבורית – חלק מהנכים זכאים לנסיעות חינם או בהנחה בתחבורה הציבורית.
פטור ממס הכנסה – בהתאם לשיעור הנכות שנקבע בביטוח לאומי.
סיוע ממשרד השיכון – הנחות בשכר דירה וסיוע בדיור ציבורי לזכאים.",,המלצות נוספות,מפנה אלינו,לסיוע מול הביטוח הפרטי,"שמרו את התעודה בהישג יד – חלק מההטבות ניתנות רק בהצגת התעודה. 
ייתכן שתעודת נכה תאפשר לכם הקלות והחזרים גם בביטוחים פרטיים – בדקו מול חברת הביטוח.
מדי שנה מתעדכנות זכויות חדשות לנכים – כדאי לבדוק באתרי הזכויות של ביטוח לאומי והמוסדות הרלוונטיים.",,קריטריונים אפשריים לקבלת תעודת נכה אחרי שבר בירך (תעודה קבוע או זמנית).,https://b2b.btl.gov.il/BTL.ILG.Payments/TeudatNecheInfo.aspx,הגשת בקשה לתעודת נכה,,,"
אזרחים ותיקים שקיבלו נכות רפואית של 40% ומעלה בעקבות השבר יכולים להיות זכאים לתעודת נכה.
אם השבר גרם לאובדן כושר ניידות משמעותי, יש אפשרות לקבל קצבת שירותים מיוחדים.
אם נקבעו 90% נכות רפואית ומעלה, עשויות להיות הטבות נוספות כגון פטור ממס הכנסה, הנחות נוספות בתשלומי ארנונה והנחות בתחבורה ציבורית.
ההגשה נעשית או באמצעות אתר הביטוח הלאומי או באמצעות הליכה לסניף הקרוב, לבקשה נדרש לצרף את כלל המסמכים הרפואיים הרלוונטיים, כמו כן ייתכן ותדרשו להגיע לועדה רפואית
",,,,,,,,,,,,,,,,,"InfoCard_Rights_97
",Rights,,,
"קצבת שירותים מיוחדים (שר""מ)","קצבת שירותים מיוחדים (שר""""מ) היא קצבה חודשית הניתנת על ידי המוסד לביטוח לאומי לאנשים עם מוגבלות פיזית משמעותית.",פירוט אודות קצבת שירותים מיוחדים ,,,,,"קצבת שירותים מיוחדים (שר""""מ) ניתנת רק למי שהתחיל לקבל אותה לפני גיל פרישה (*ניתן להגיש מגיל 18 ועד 6 חודשים לאחר גיל הפרישה) אם אדם לא קיבל קצבת שר""""מ לפני גיל הפרישה, הוא לא יוכל להגיש בקשה חדשה לאחר שהגיע לגיל הפרישה. במקום זאת, הוא יוכל לבדוק זכאות לגמלת סיעוד.
מה מקבלים
תשלום חודשי מביטוח לאומי לאזרחים ותיקים הזקוקים לעזרה קבועה בפעולות יומיומיות כגון רחצה, אכילה, הלבשה, ניידות ושליטה על הפרשות.
הקצבה משמשת למימון מטפל סיעודי, עזרה של בן משפחה, או הוצאות נוספות הקשורות לטיפול באזרח הוותיק.
הקצבה משולמת בנוסף לקצבת אזרח ותיק (בשונה מגמלת סיעוד, המחליפה את קצבת האזרח הוותיק).
",,שימו לב,https://www.gov.il/he/service/itc-request-for-fixed-rights-at-retirement-age,קיבוע קצבה בעת יציאה לפנסיה,"במקרים רבים קצבת שר""""מ עדיפה על קצבת סיעוד. המערכות המוסדיות עלולות להעביר את המטופל מבלי לידע אתכם וחשוב שתיהיו בבקרה על הנושא ותוודאו שלא פוגעים בזכויותיו.",,הסבר זכאות,,,,,"
אזרח ותיק שממשיך לקבל קצבת נכות כללית – כלומר, נכה שהגיע לגיל פרישה וכבר היתה לו קצבת שר""מ וממשיך לעמוד בקריטריונים של נכות רפואית ואובדן כושר תפקודי.
מי שזקוק לעזרה קבועה בביצוע פעולות יומיומיות – כולל קשישים המרותקים למיטה, נעזרים בכיסא גלגלים, או זקוקים לעזרה בפעולות בסיסיות.
מי שאינו שוהה במוסד סיעודי – הקצבה ניתנת למי שמתגורר בביתו או בדיור מוגן שאינו מוסד סיעודי בפיקוח ממשלתי.
",,הגדלה ושימור קצבה,https://forms.gov.il/globaldata/getsequence/gethtmlform.aspx?formType=T7849@btl.gov.il,תביעה מול ביטוח לאומי,,,"צירוף מסמכים רפואיים ותלושי שכר של חצי השנה האחרונה – יש לצרף דו""ח רפואי מרופא משפחה, המלצה של גריאטר או רופא מומחה, ואבחונים המעידים על מצב סיעודי או ירידה בתפקוד.
בדיקת זכאות בוועדה רפואית – ביטוח לאומי עשוי לשלוח אחות מוסמכת לבית המטופל כדי להעריך את יכולתו לבצע פעולות יומיומיות.
הקצבה מתקבלת בתשלום חודשי ישירות אל המטופל ולא באמצעות שירותים, וקיימות 4 רמות זכאות -  משיעור 50% שמזכה ב 1,880 ש""ח ועד 235% שמזכה ב 8,828 ש""ח. ",,,,,,,,,,"InfoCard_Rights_98
",Rights,,,
זכויות המשפחה המטפלת,"התמודדות בטיפול בן משפחה הינה מורכבת ודורשת מאיתנו קשב רב, זמן והוצאות כלכליות, מתוך ההבנה הזו דאגו רשויות שונות להטבות וזכויות בעבור בני המשפחה המטפלים",הטבות מס,https://www.gov.il/BlobFolder/service/itc-request-for-tax-credits-disabled-relative/he/116a23.pdf,טופס 116א,https://www.gov.il/blobFolder/service/itc-request-for-tax-credits-disabled-relative/he/teuda-refuit.pdf,טופס 127,"זיכוי במס בשל מימון אשפוז סיעודי: במידה ואתם משתתפים במימון החזקת הורה במוסד סיעודי, אתם עשויים להיות זכאים לזיכוי במס הכנסה, בהתאם לקריטריונים של מבחן הכנסה.
מסמכים נדרשים וטפסים
טופס 116א: בקשה לזיכוי ממס בשל הוצאות החזקת קרוב במוסד.
טופס 127: אישור רפואי על מצב הקרוב.
קבלות ואסמכתאות: הוכחות לתשלומים ששולמו למוסד הסיעודי.
את הטפסים והמסמכים יש להגיד לפקיד השומר באזור מגוריכם, ניתן לעשות זאת במהלך שנת המס או בסיומה.
הבטחת הכנסה: מי שמטפל בהורה (בן משפחה) חולה ומפסיק לעבוד בשל כך, עשוי להיות זכאי לקצבת הבטחת הכנסה ללא צורך במבחן תעסוקה.",,העסקת קרוב משפחה כמטפל,,," מטופל שזכאי לגמלת סיעוד יכול להעסיק בן משפחה כמטפל, ולקבל את הגמלה עבור העסקתו, בתנאי שהמטפל עבר הכשרה מתאימה וההעסקה מתבצעת דרך חברת סיעוד מוכרת.
תנאי העסקת בן משפחה כמטפל סיעודי
המטופל חייב להיות זכאי לגמלת סיעוד מהמוסד לביטוח לאומי.
המטפל יכול להיות כל בן משפחה מגיל 18 ומעלה.
העסקת בן המשפחה כמטפל מתבצעת אך ורק דרך חברת סיעוד או כוח אדם העובדת עם המוסד לביטוח לאומי.
בבית המטופל חייב להיות טלפון או מערכת אחרת המאפשרת דיווח נוכחות של המטפל.
המטופל צריך להסכים לקבל טיפול מקרוב משפחתו.
מצאו חברת סיעוד באזור מגוריכם, הגישו בקשה להיות מכורים כמטפל של בן המשפחה תחת חברת הסיעוד. לאחר אישור, תועסקו דרכה ותדרשו לדווח על שעות העבודה באמצעות מערכת רישום נוכחות מרחוק.

",,סיוע ותמיכה נפשית,https://yad-sarah.net/community/%D7%99%D7%93-%D7%9C%D7%AA%D7%95%D7%9E%D7%9A-%D7%A1%D7%99%D7%95%D7%A2-%D7%9C%D7%9E%D7%A9%D7%A4%D7%97%D7%94/,הסתייעות ביד לתומך,https://emda.org.il/%D7%A7%D7%91%D7%95%D7%A6%D7%95%D7%AA-%D7%AA%D7%9E%D7%99%D7%9B%D7%94/,הסתייעות בעמדא," קיימים מרכזי תמיכה, קבוצות סיוע וייעוץ לבני משפחה מטפלים, המספקים תמיכה רגשית, ומידע שימושי רב ",,לימוד מניסיון משפחות אחרות,hub.theoak.io,לליווי ותמיכה,,,ישנן משפחות רבות שעברו תהליך דומה קודם לכן ורבות מהן רוצות ומוכנות לעזור ולתמוך במשפחות שמתחילות עכשיו את התהליך. במידה ותרצו מנטור מלווה שידע לשתף אתכם בתובנות שלו מהשטח ולהבין מה באמת עובר עליכם אתם מוזמנים להירשם,,,,,,,,,,"InfoCard_Rights_99
",Rights,,,
סיוע במימון בית אבות לאזרחים ותיקים עצמאיים או תשושים,"אזרחים ותיקים עצמאיים או תשושים (המתקשים בתפקוד יומיומי אך אינם סיעודיים) אשר מצבם הכלכלי אינו מאפשר להם לממן באופן מלא שהות בבית אבות, עשויים לקבל סיוע במימון דרך משרד הרווחה.",מימוש והגשה,https://www.gov.il/he/departments/dynamiccollectors/molsa-social-departmentsd-list,איתור לשכת הרווחה הקרובה,,,"יש לפנות ללשכת הרווחה המקומית או לעובד סוציאלי בקהילה.
התהליך כולל הערכה תפקודית וכלכלית של המבקש ובני משפחתו.
לאחר האישור, ניתן לבחור בית אבות מתוך רשימת המוסדות המורשים.
",,סיוע במימון אישפוז סיעודי,https://www.gov.il/he/service/assistance-in-financing-nursing-hospitalization,בקשה למימון ,"אזרחים ותיקים במצב סיעודי או תשושי נפש (למשל חולי אלצהיימר, בעלי דימנציה מתקדמת , ירידה קוגניטיבית משמעותית), הזכאים לטיפול רפואי והשגחה צמודהעשויים לקבל סיוע במימון האשפוז במוסד מתאים דרך משרד הבריאות.
אופן המימוש
הערכת תפקוד רפואית – נערכת על ידי צוות גריאטרי מוסמך לקביעת הזכאות לאשפוז סיעודי.
בדיקה כלכלית – קביעת גובה ההשתתפות של המטופל ובני משפחתו במימון האשפוז.
ניתן להסתייע בעובד סוציאלי בבית החולים או בקהילה בתהליך ההגשה",,דיור מוגן ציבורי בבית גיל הזהב,https://www.gov.il/apps/moch/viewlist/list/gil_zahav,רשימת בתי גיל הזהב,https://login.gov.il/nidp/saml2/sso?id=usernamePasswordSMSOtp&sid=0&option=credential&sid=0,טופס בקשה דיגיטלי,"אזרחים ותיקים הזכאים לדיור ציבורי ואינם בעלי דירה יכולים לגור בבתי דיור מוגן ציבוריים של משרד הבינוי והשיכון, בדירות בנות חדר וחצי או שני חדרים, תוך השתתפות מסובסדת בשכר הדירה.
לטובת מימוש הזכות נדרש לפנות למשרד הבינוי והשיכון או הרשות המקומית, במסגרת התהליך תתבקשו לאישורי הכנסה ותעודת אזרח ותיק של ההורה לטובת קביעת רמת הסבסוד. 

",,קהילה תומכת – שירותים תומכים לקשישים בביתם,,,,,"
אזרחים ותיקים עצמאיים או תשושים המתגוררים בביתם ומעוניינים בתמיכה נוספת יכולים להצטרף לתוכנית ""קהילה תומכת"" שמציעה לחצן מצוקה, ביקורי מתנדבים, סיוע רפואי, פעילויות חברתיות ועוד.
לבירורים יש לפנות לעירייה או לרשות המקומית כדי לבדוק את זמינות התוכנית באזור.",,,,,,,,,,"InfoCard_Rights_100
",Rights,,,
