Title,Short explain,Subtitle,Seconed button,Seconed button - Text,Seconed button 2,Seconed button 2 - Text,Seconed explain,Seconed picture,Third subtitle,Third button,Third button - Text,Third explain,Third picture,Four Subtitle,Four  button,Four  button - Text,Four  button 2,Four  button - Text,Four  explain,Four  picture,Fifth subtitle,Fifth button,Fifth button - Text,Fifth button 2,Fifth button 2 - Text,Fifth explain,Fifth picture,Six subtitle,Six button,Six button - Text,Six button 2,Six button 2- Text,Six explain,Six picture,HMO,serial number,Category,Sub-category,Notes,Rank 
התמודדות עם קשיים מנטליים בשיקום לאחר שבירת הירך,"בדידות בגיל המבוגר אינה רק תחושה אישית, אלא גם גורם סיכון בריאותי המשפיע על לחץ, מצב הרוח, תפקוד קוגניטבי ופיזי. התערבות נכונה יכולה להפחית את הבדידות ולשפר את הבריאות ואיכות החיים.",התנהלות משפחתית,,,,,"
מעורבות משפחתית – יצירת תמיכה רחבה ושגרת קשרים
תיאום בין בני המשפחה – צרו מערכת גמישה אך מחייבת, שבה כל בן משפחה לוקח חלק בקשר עם ההורה ובה נעשה סינכרון לו""ז בין הפעילויות ובני המשפחה השונים.
עידוד הנכדים לקחת חלק – שאפו לכך שהנכדים יהיו פעילים ככל שניתן; הודעה יומית, תמונה או סרטון קצר כדי לשמור על קשר רציף ומעורבות רגשית.
ליווי לבדיקות רפואיות כהזדמנות חברתית – הפכו את האירוע לחוויה חיובית ע""י שילוב עצירה לקפה, טיול קצר או מפגש עם אדם אהוב. 

",,התנהלות חברתית,https://www.btl.gov.il/Simulators/SiudCalculators/Pages/IturNotneySherutim.aspx,איתור מרכז יום קרוב,"קשרים חברתיים – השתתפות פעילה במסגרות מותאמות
שימור והעמקת קשרים קיימים – תמכו בחיזוק קשרים עם חברים מהעבר, שכנים ומכרים, בין אם בביקורים פיזיים או טלפוניים.
קבוצות חברתיות או קורסים ייעודיים;
מועדוני יום לקשישים (מרכזי יום/מועדנים חברתים/מועדון)



",,העשרה ולמידה,https://www.gov.il/he/pages/university_shivyon,איתור קתדראות,https://www.gov.il/he/pages/molsa-senior-citizens-clubs-and-warm-homes-social-clubs?chapterIndex=3,איתור מועדון חברתי,"קורסי העשרה ולמידה מקוונים או פיזיים 
המרכז לשיווין חברתי מסבסד את הקתדראות העממיות, מוסדות לימודי-תרבות, אשר נועדו להרחיב ולהעמיק את תחומי הדעת ואת אופקיו הרוחניים של המבוגר ולפתח את כישוריו היצירתים. 
ניתן למצוא במרכזי היום לקשיש, במרכז הקהילתי העירוני הקרוב לבית המטופל או באופן פרטי. ",,הסתייעות בטכנולוגיה,https://www.teamviewer.com/en-mea/download/windows/,הורדת TEAMVIWER,https://anydesk.com/en/downloads/windows,הורדת ANYDESCK,"שימוש בטכנולוגיה ככלי להפחתת בדידות
שימוש בתוכנה לשליטה מרחוק – התקנת AnyDesk או TeamViewer תאפשר לכם לסייע להורה מרחוק בקלות בתפעול המחשב או הטלפון.
באם אין התנגדות מצד המטופל, למדו תשאפו ללמד אותו לבצע/לענות לשיחות וידאו, זום.
",,דגשים נוספים,,,"בהתאם למגבלות המגורים, נמליץ לשקול אימוץ חיית מחמד קטנה לשיפור תחושת האחריות והשגרה היומית.נמליץ לעשות תמונה משותפת, לשלוח בקבוצה המשפחתית ולשאוף ליצר אירועים שמחים שאינם חלק מרצף 'משימות'. ",,,,,"InfoCard_wellbeing_65
",Wellbeing,,,
התמודדות עם הפרעות שינה,"שינה איכותית היא מרכיב קריטי בניהול אורך חיים בריא. שינה איכותית מפחיתה מתח, משפרת מצב רוח, תומכת בזיכרון ובריכוז ומסייעת במניעת כאב ועייפות במהלך היום. היא מסייעת להחלמת העצמות, לשחרור, בנייה והתחדשות השרירים, למניעת נפילות חוזרות. ",התאמת סביבת השינה,לינק למקום שאפשר להוריד ממנו את המדריך שהכנו,מדריך היגיינת שינה,,,"
התאמת סביבת השינה ושמירה על שגרה תומכת שינה
מיטה מותאמת – יש לוודא שהמזרן נוח, ובמקרה הצורך להשתמש במיטה מתכווננת או בכריות תומכות להפחתת לחץ על אזור השבר.
טמפרטורה נוחה – החדר צריך להיות מאוורר ונעים, בטווח של 18-22 מעלות צלזיוס.
תאורה מתאימה – בלילה יש לדאוג לחושך מספק, אך במקרה של קימה, תאורה עמומה תמנע בלבול וסיכון לנפילה. מקמו מנורות עם גלאי תנועה בין המיטה לשירותים. 
נמליץ שהאור יהיה חזק דיה בצבעי אדום או צהוב. 
שקט מרבי – אם רעשי רקע מפריעים, ניתן להשתמש במכשיר רעש לבן.
שעות שינה קבועות – שמירה על זמני שינה והשכמה עקביים תסייע לוויסות השעון הביולוגי.
פעילות גופנית מותאמת – תרגילים פשוטים במהלך היום בהתאם להמלצות הפיזיותרפיסט משפרים את איכות השינה.
הגבלת זמני שנ""צ – במקרה של צורך בשינה במהלך היום, עדיף להגביל אותה ל-20-30 דקות בלבד, ולא מעבר לשעות הצהריים המוקדמות. נמליץ להתייעץ הרופא המטפל.
חשיפה לשמש בשעות הבוקר והצהרים עוזרת לויסות של המחזור הביולוגי וההרדמות.
ניהול כאב והתמודדות עם אי נוחות בלילה
איזון משככי כאבים – יש לוודא שהתרופות אינן פוגעות במחזור השינה ולהתייעץ עם הרופא לגבי התאמות אפשריות.
שימוש בכריות תומכות – התייעצו עם פיזיותרפיסט לגבי מיקום כרית מתחת לרגל להפחית כאבים ולשפר את הנוחות.
אמבטיה חמימה או קומפרסים חמימים לפני השינה יכולים לסייע בהרפיית השרירים ובהפחתת מתח, התיעצו עם פיזיותרפיסט או רופא משפחה.
",,התנהלות והרגלים מקדמי שינה,,,"הפחתת סטרס ומשפיעים חיצונים מפריעים לקראת השינה
תרגולי הרפיה – מדיטציה קצרה, נשימות עמוקות או האזנה למוזיקה רגועה יכולים לעזור בשחרור מתחים.
עידוד קריאה לפני השינה – במקום שימוש במסכים, קריאה בספר יכולה לסייע להירדמות קלה יותר.
טכנולוגיה
הימנעות מחשיפה לאור כחול לפני השינה – שימוש בטלפונים, טאבלטים או טלוויזיה עלול לפגוע בהפרשת המלטונין ולעכב את ההירדמות.
העדפת פעילויות מרגיעות – האזנה לספר מוקלט, מוזיקה שקטה או שיחה רגועה עם בני המשפחה במקום טלוויזיה.
",,תזונה תומכת שינה,https://www.clalit.co.il/he/lifestyle/nutrition/Pages/dont_eat_before_you_sleep.aspx,מה לא לאכול לפני השינה טיפים מכללית,https://www.ynet.co.il/article/4686877,המדריך הטבעי להתמודדות עם נדודי שינה,"
ארוחת ערב קלה – יש להימנע ממזון כבד או מטוגן בערב. נמליץ להתייעץ עם תזנואי דרך הקופה.
הימנעות מקפאין, אלכוהול וסוכרים לפני השינה – כדאי להפחית שתיית קפה ותה שחור בשעות אחה""צ. גם שוקולד ומשקאות מתוקים עלולים לשבש את מחזור השינה.
שתיית תה צמחים מרגיעים – קמומיל, לבנדר או מליסה יכולים לסייע בהרפיה לפני השינה.
",,,,,,,,,,,,,,,,,"InfoCard_wellbeing_66
",Wellbeing,,,
התמודדות עם קשיים מנטליים בשיקום לאחר שבירת הירך,"שיקום לאחר שבר בירך הוא לא רק אתגר פיזי אלא גם חוויה מנטלית מאתגרת עבור המטופל ובני משפחתו. ככל שתגלו ערנות ותהיו קשובים לקשיים אלו, ניתן יהיה לשפר את תקופת ההחלמה.",יצירת תחושת הצלחה ובניית ביטחון עצמי,,,,,"

עודדו את המטופל לחגוג הישגים קטנים, כמו עמידה לזמן קצר או הליכה לכיסא עם עזרה, כדי לחזק את תחושת המסוגלות שלו.
שימו דגש על התקדמות במקום על מגבלות – במקום להזכיר מה עדיין קשה, התרכזו במה שכבר הושג.
הציבו מטרות קטנות ומשמעותיות יחד איתו, תוך התאמה ליכולת שלו, כדי ליצור תחושת שליטה.
הכרה במאמצים חשובה לא פחות מהתוצאה – גם אם יש ימים קשים, עצם ההתמדה היא הצלחה.
",,הפחתת פחד ותלות דרך חיזוק התמיכה הרגשית,,,"
פחד מנפילה חוזרת הוא שכיח – שיחות מרגיעות והסברים על אמצעי הבטיחות שננקטו יכולים להפחית חרדה.
חיזוק תחושת השליטה – עודדו אותו לקחת חלק בהחלטות לגבי סדר היום והשיקום, כדי למנוע תחושת חוסר אונים.
התאמת העזרה למידת הצורך – הימנעו מהגנת יתר. ישנה חשיבות גבוהה לשימור עצמאות ופעילות לא רק לתחושתו המנטלית אלא גם לטובת החזרה לרמת תפקוד גבוהה יותר בעתיד.
",,פתיחת ערוץ תקשורת ותמיכה מקצועית בעת הצורך,,,,,"
צרו דיאלוג פתוח שבו המטופל ירגיש בנוח לשתף את תחושותיו בלי לחשוש מתגובות שיפוטיות.
היו קשובים לסימנים של דיכאון או ייאוש – ירידה במוטיבציה, עצבנות, ירידה בתיאבון או הסתגרות עלולים להצביע על צורך בעזרה נוספת.
אם תחושות הקושי ממשיכות, אל תהססו לפנות לליווי מקצועי – פסיכולוג, פסיכו-גריאטר או קבוצת תמיכה יכולים לסייע רבות.
",,,,,,,,,,,,,,,,,"InfoCard_wellbeing_67
",Wellbeing,,,
רווחת המטפל - שמרו על עצמכם בזמן הדאגה ליקיריכם,"הטיפול בבן משפחה בתהליך שיקום הוא משימה אינטנסיבית, רגשית ופיזית.",בואו נקרא לילד בשמו...,,,,," זוהי משימה שדורשת זמן, סבלנות ומשאבים משמעותיים. בעוד שמה שאתם עושים הוא בעל ערך עצום, חשוב לא פחות שתדאגו לעצמכם, הוציאו את המילה 'אשמה' מהלקסיקון, כל מה שתעשו הוא מעל ומעבר.",,הכרה בקושי והתמודדות עם עומס רגשי,,,"

ההבנה שהתפקיד שלקחתם על עצמכם הוא מאתגר ואינו תמיד מתגמל היא קריטית. הטיפול גובה זמן, אנרגיה ולעיתים גם מחירים אישיים.
שינויים בתפקידים המשפחתיים, שבהם ההורה או בן המשפחה שהכירו כעצמאי הופך לתלוי בטיפולכם, יכולים להיות מתישים וכואבים.
נסו לשים רגשות כמו אשמה בצד. אף אחד לא יכול לעשות הכל לבד, וזמן אישי לעצמכם אינו מותרות אלא צורך הכרחי.
השקיעו בעצמכם, הקפידו על פעילות גופנית, מנוחה מספקת ותזונה נכונה כדי לשמור על איזון רגשי ופיזי.
הצטרפו לקבוצות תמיכה לבני משפחה המטפלים במקרים דומים.
אם אתם מרגישים מצוקה רגשית מתמשכת, אל תהססו לפנות לתמיכה מקצועית.
",,חלוקת תפקידים ותיאום בין בני המשפחה,,,,,"
נסו לערב כמה שיותר בני משפחה במאמץ, כדי שלא כל העומס ייפול על אדם אחד.
שתפו את כל בני המשפחה במצבו של המטופל ובמה שיידרש מהם, כדי למנוע אי-הבנות וציפיות לא ריאליות.
הגדירו תפקידים ברורים – מי אחראי על ליווי רפואי, מי מסייע בקניות וביקורים, ומי דואג לפן הרגשי של הקשיש.
צרו יומן משימות משותף והגדירו אחראי שיוודא שכולם עומדים במשימות שלהם.
הגדירו זמנים בהם תיהיו זמינים וחשוב לא פחות, הגדירו זמנים אישים בהם לא תיהיו זמינים. 
",,תמיכה רגשית ושמירה על חוסן אישי,,,,,"
שוחחו ביניכם כמשפחה ושתפו רגשות וקשיים. שיחה פתוחה יכולה להפחית לחצים וליצור תחושת שותפות במעמסה.
אל תהססו לפנות לחברים קרובים ולבקש תמיכה – בין אם מדובר באוזן קשבת או עזרה מעשית.
הצטרפו לקבוצות תמיכה של בני משפחה מטפלים – שם תוכלו לחלוק חוויות, ללמוד מאחרים ולקבל כלים להתמודדות.
הקפידו לקחת פסק זמן אישי – אימון יומי, ארוחת שישי עם הילדים וללא ההורים, חופשה קצרה וארוכה, או כל דבר שמאפשר להטעין את המצברים.
",,,,,,,,,,"InfoCard_wellbeing_68
",Wellbeing,,,
תזונה תומכת בריאות העצם,"תזונה מאוזנת היא מרכיב מרכזי בחיזוק העצמות ובהפחתת הסיכון לשברים.לאחר שבר בירך, תזונה נכונה יכולה לסייע לתהליך ההתאוששות, לשפר את תפקוד השרירים ולמנוע הידלדלות עצם עתידית.
",התאמת התזונה למצב הבריאותי הכללי,https://rambam-medicine.org.il/osteoporosis-slow-down-stop-decrease-in-bone-density/,הרחבה על תזונה מונעת התדללות עצם,,,"
יש לשים לב שחלק מהמזונות העשירים בסידן עשירים גם בשומן, ולכן יש לאזן את התפריט בהתאם למדדים בריאותיים כלליים כמו כולסטרול ורמות סוכר. פנו לרופא המשפחה ובקשו לבצע בדיקות דם תקופתיות כדי לוודא רמות מאוזנות של סידן, ויטמין D וחלבון בגוף.
",,רכיבי תזונה חשובים לחיזוק העצם,https://www.camoni.co.il/%D7%9E%D7%94-%D7%9C%D7%90%D7%9B%D7%95%D7%9C-%D7%9B%D7%93%D7%99-%D7%9C%D7%A9%D7%9E%D7%95%D7%A8-%D7%A2%D7%9C-%D7%94%D7%A2%D7%A6%D7%9E%D7%95%D7%AA-,תזונה תומכת עצם,"
נמליץ להיוועץ בתזונאי לפני ביצוע שינויי בהרגלי צריכת המזון של המטופל. ניתן לקבוע תור דרך הקופה.
סידן – חיוני לשמירה על צפיפות העצם ולמניעת הידלדלותה. ניתן למצוא אותו במוצרי חלב, ברוקולי, שקדים, טחינה גולמית, עלים ירוקים (כגון קייל) ודגים עם עצמות רכות (סרדינים).
ויטמין D – הכרחי לספיגת הסידן בגוף. מקורו העיקרי הוא חשיפה לשמש, אך ניתן לקבלו גם מדגים שומניים (סלמון, מקרל, טונה), ביצים ומוצרי חלב מועשרים.
חלבון – תומך בשיקום השרירים ומסייע ביציבות הגוף, מה שמפחית את הסיכון לנפילות נוספות. ניתן להשיגו בעוף, דגים, קטניות, ביצים ומוצרי חלב.
מגנזיום ואשלגן – מסייעים בתהליכי בניית העצם ובתפקוד השרירים, ונמצאים באבוקדו, בננות, קטניות ואגוזים.

",,,,,,,,,,,,,,,,,,,,,,,,"InfoCard_wellbeing_69
",Wellbeing,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
